image_id,text,label
73,bright right_heavy top_heavy,9
74,bright left_heavy bottom_heavy,5
75,dark right_heavy bottom_heavy,2
76,bright left_heavy top_heavy,8
77,bright right_heavy bottom_heavy,2
78,bright left_heavy top_heavy,0
79,bright left_heavy bottom_heavy,0
80,dark right_heavy top_heavy,1
81,bright right_heavy top_heavy,7
82,bright left_heavy bottom_heavy,6
83,dark right_heavy top_heavy,3
84,bright left_heavy bottom_heavy,2
85,dark right_heavy top_heavy,1
86,dark right_heavy bottom_heavy,7
87,bright left_heavy top_heavy,4
88,dark left_heavy bottom_heavy,6
89,dark right_heavy top_heavy,3
90,dark right_heavy top_heavy,1
91,bright right_heavy top_heavy,3
92,bright right_heavy top_heavy,9
93,dark right_heavy top_heavy,1
94,dark right_heavy top_heavy,7
95,bright left_heavy bottom_heavy,6
96,bright left_heavy top_heavy,8
97,dark right_heavy bottom_heavy,4
98,bright right_heavy top_heavy,3
99,dark left_heavy bottom_heavy,1
100,dark right_heavy bottom_heavy,4
101,bright left_heavy bottom_heavy,0
102,dark left_heavy top_heavy,5
103,dark right_heavy top_heavy,3
104,dark left_heavy bottom_heavy,6
105,dark right_heavy top_heavy,9
106,dark left_heavy bottom_heavy,6
107,dark right_heavy top_heavy,1
108,dark right_heavy bottom_heavy,7
109,bright left_heavy top_heavy,5
110,dark left_heavy bottom_heavy,4
111,dark left_heavy bottom_heavy,4
112,bright right_heavy top_heavy,7
113,bright right_heavy bottom_heavy,2
114,dark left_heavy top_heavy,8
115,dark right_heavy bottom_heavy,2
116,dark right_heavy bottom_heavy,2
117,dark left_heavy top_heavy,5
118,bright right_heavy top_heavy,7
119,dark right_heavy top_heavy,9
120,dark left_heavy top_heavy,5
121,bright left_heavy top_heavy,4
122,dark right_heavy top_heavy,8
123,bright right_heavy bottom_heavy,8
124,dark left_heavy bottom_heavy,4
125,dark right_heavy top_heavy,9
126,bright left_heavy bottom_heavy,0
127,dark left_heavy top_heavy,8
128,bright right_heavy top_heavy,9
129,dark left_heavy top_heavy,8
130,dark left_heavy bottom_heavy,0
131,dark right_heavy top_heavy,1
132,bright left_heavy bottom_heavy,2
133,dark right_heavy top_heavy,3
134,dark right_heavy top_heavy,4
135,bright left_heavy top_heavy,5
136,dark left_heavy bottom_heavy,6
137,dark right_heavy top_heavy,7
138,bright left_heavy top_heavy,8
139,dark right_heavy top_heavy,9
140,bright left_heavy top_heavy,0
141,dark right_heavy top_heavy,1
142,dark left_heavy top_heavy,2
143,bright right_heavy top_heavy,3
144,dark left_heavy bottom_heavy,4
145,bright left_heavy top_heavy,5
146,bright left_heavy bottom_heavy,6
147,dark right_heavy bottom_heavy,7
148,bright left_heavy bottom_heavy,8
149,bright right_heavy top_heavy,9
150,bright left_heavy bottom_heavy,0
151,dark right_heavy top_heavy,1
152,dark right_heavy top_heavy,2
153,dark right_heavy top_heavy,3
154,bright right_heavy bottom_heavy,4
155,dark left_heavy top_heavy,5
156,bright left_heavy bottom_heavy,6
157,bright left_heavy top_heavy,7
158,dark left_heavy top_heavy,8
159,dark right_heavy top_heavy,9
160,bright left_heavy top_heavy,0
161,dark right_heavy top_heavy,9
162,bright left_heavy top_heavy,5
163,bright left_heavy top_heavy,5
164,bright left_heavy bottom_heavy,6
165,dark left_heavy top_heavy,5
166,bright left_heavy bottom_heavy,0
167,dark right_heavy top_heavy,9
168,bright left_heavy top_heavy,8
169,dark right_heavy top_heavy,9
170,dark left_heavy bottom_heavy,8
171,bright left_heavy bottom_heavy,4
172,bright right_heavy top_heavy,1
173,bright right_heavy top_heavy,7
174,dark right_heavy top_heavy,7
175,dark right_heavy top_heavy,3
176,bright left_heavy top_heavy,5
177,dark right_heavy top_heavy,1
178,bright left_heavy bottom_heavy,0
179,bright right_heavy bottom_heavy,0
180,bright left_heavy top_heavy,2
181,dark left_heavy bottom_heavy,2
182,dark right_heavy top_heavy,7
183,bright right_heavy bottom_heavy,8
184,dark left_heavy bottom_heavy,2
185,bright right_heavy bottom_heavy,0
186,bright right_heavy top_heavy,1
187,bright left_heavy top_heavy,2
188,dark left_heavy bottom_heavy,6
189,dark right_heavy top_heavy,3
190,dark right_heavy bottom_heavy,3
191,dark left_heavy bottom_heavy,7
192,dark right_heavy top_heavy,3
193,dark right_heavy top_heavy,3
194,dark right_heavy bottom_heavy,4
195,bright left_heavy bottom_heavy,6
196,dark left_heavy bottom_heavy,6
197,bright left_heavy bottom_heavy,6
198,dark right_heavy bottom_heavy,4
199,bright right_heavy top_heavy,9
200,dark right_heavy bottom_heavy,1
201,bright left_heavy top_heavy,5
202,bright left_heavy bottom_heavy,0
203,bright right_heavy top_heavy,9
204,dark left_heavy top_heavy,5
205,dark right_heavy top_heavy,2
206,dark left_heavy top_heavy,8
207,dark left_heavy top_heavy,2
208,bright left_heavy bottom_heavy,0
209,bright left_heavy bottom_heavy,0
210,bright right_heavy top_heavy,1
211,dark left_heavy top_heavy,7
212,dark left_heavy bottom_heavy,6
213,dark right_heavy top_heavy,3
214,dark left_heavy bottom_heavy,2
215,dark right_heavy bottom_heavy,1
216,dark left_heavy bottom_heavy,7
217,dark right_heavy bottom_heavy,3
218,dark right_heavy top_heavy,1
219,dark right_heavy top_heavy,3
220,bright right_heavy top_heavy,9
221,bright right_heavy top_heavy,1
222,dark right_heavy top_heavy,7
223,dark left_heavy bottom_heavy,6
224,bright right_heavy bottom_heavy,8
225,bright left_heavy bottom_heavy,4
226,dark right_heavy top_heavy,3
227,bright right_heavy bottom_heavy,1
228,bright right_heavy bottom_heavy,4
229,bright left_heavy bottom_heavy,0
230,dark left_heavy top_heavy,5
231,dark right_heavy top_heavy,3
232,bright left_heavy bottom_heavy,6
233,dark right_heavy top_heavy,9
234,dark left_heavy bottom_heavy,6
235,bright right_heavy top_heavy,1
236,bright left_heavy top_heavy,7
237,dark left_heavy top_heavy,5
238,bright right_heavy bottom_heavy,4
239,bright right_heavy bottom_heavy,4
240,dark left_heavy bottom_heavy,7
241,bright left_heavy bottom_heavy,2
242,bright right_heavy bottom_heavy,8
243,bright left_heavy bottom_heavy,2
244,bright left_heavy top_heavy,2
245,dark left_heavy top_heavy,5
246,dark left_heavy top_heavy,5
247,bright right_heavy bottom_heavy,4
248,bright right_heavy bottom_heavy,8
249,bright right_heavy bottom_heavy,8
250,bright right_heavy bottom_heavy,4
251,bright right_heavy top_heavy,9
252,bright left_heavy bottom_heavy,0
253,bright right_heavy bottom_heavy,8
254,bright right_heavy top_heavy,9
255,bright left_heavy bottom_heavy,8
256,bright left_heavy top_heavy,0
257,bright left_heavy bottom_heavy,1
258,dark left_heavy bottom_heavy,2
259,dark right_heavy bottom_heavy,3
260,dark left_heavy bottom_heavy,4
261,dark right_heavy top_heavy,5
262,dark left_heavy bottom_heavy,6
263,bright right_heavy top_heavy,7
264,dark right_heavy top_heavy,8
265,dark right_heavy top_heavy,9
266,dark left_heavy top_heavy,0
267,dark right_heavy bottom_heavy,1
268,bright left_heavy bottom_heavy,2
269,bright right_heavy top_heavy,3
270,bright left_heavy bottom_heavy,4
271,dark left_heavy top_heavy,5
272,dark left_heavy bottom_heavy,6
273,dark left_heavy top_heavy,7
274,dark left_heavy top_heavy,8
275,bright left_heavy top_heavy,9
276,dark left_heavy top_heavy,0
277,bright right_heavy bottom_heavy,1
278,bright left_heavy bottom_heavy,2
279,dark right_heavy top_heavy,3
280,dark left_heavy bottom_heavy,4
281,dark left_heavy top_heavy,5
282,dark left_heavy bottom_heavy,6
283,bright right_heavy top_heavy,7
284,dark left_heavy top_heavy,8
285,dark right_heavy top_heavy,9
286,dark left_heavy top_heavy,0
287,dark right_heavy top_heavy,9
288,dark left_heavy top_heavy,5
289,dark left_heavy top_heavy,5
290,dark left_heavy bottom_heavy,6
291,dark left_heavy top_heavy,5
292,dark left_heavy top_heavy,0
293,dark right_heavy top_heavy,9
294,bright right_heavy bottom_heavy,8
295,bright right_heavy top_heavy,9
296,bright right_heavy top_heavy,8
297,dark left_heavy bottom_heavy,4
298,bright left_heavy bottom_heavy,1
299,dark left_heavy top_heavy,7
300,dark right_heavy top_heavy,7
301,bright right_heavy bottom_heavy,3
302,dark left_heavy top_heavy,5
303,bright right_heavy bottom_heavy,1
304,dark left_heavy bottom_heavy,0
305,dark left_heavy top_heavy,0
306,bright left_heavy bottom_heavy,2
307,dark left_heavy top_heavy,2
308,dark right_heavy top_heavy,7
309,bright right_heavy top_heavy,8
310,bright left_heavy bottom_heavy,2
311,dark left_heavy top_heavy,0
312,bright right_heavy bottom_heavy,1
313,bright left_heavy bottom_heavy,2
314,dark left_heavy bottom_heavy,6
315,bright right_heavy bottom_heavy,3
316,dark right_heavy top_heavy,3
317,dark right_heavy top_heavy,7
318,bright right_heavy top_heavy,3
319,bright right_heavy bottom_heavy,3
320,bright left_heavy bottom_heavy,4
321,dark left_heavy bottom_heavy,6
322,dark left_heavy bottom_heavy,6
323,dark left_heavy bottom_heavy,6
324,dark left_heavy bottom_heavy,4
325,dark right_heavy top_heavy,9
326,dark left_heavy top_heavy,1
327,bright left_heavy top_heavy,5
328,dark left_heavy top_heavy,0
329,dark left_heavy top_heavy,9
330,dark left_heavy top_heavy,5
331,bright left_heavy bottom_heavy,2
332,bright right_heavy bottom_heavy,8
333,bright left_heavy bottom_heavy,2
334,bright right_heavy top_heavy,0
335,dark left_heavy top_heavy,0
336,dark right_heavy bottom_heavy,1
337,bright right_heavy top_heavy,7
338,dark left_heavy bottom_heavy,6
339,bright right_heavy top_heavy,3
340,dark left_heavy bottom_heavy,2
341,dark right_heavy bottom_heavy,1
342,dark right_heavy bottom_heavy,7
343,bright left_heavy bottom_heavy,4
344,dark left_heavy bottom_heavy,6
345,bright right_heavy top_heavy,3
346,dark right_heavy bottom_heavy,1
347,dark right_heavy bottom_heavy,3
348,dark right_heavy top_heavy,9
349,dark left_heavy bottom_heavy,1
350,dark left_heavy top_heavy,7
351,bright left_heavy bottom_heavy,6
352,bright left_heavy top_heavy,8
353,bright left_heavy bottom_heavy,4
354,dark left_heavy bottom_heavy,3
355,dark right_heavy top_heavy,1
356,bright left_heavy top_heavy,4
357,dark left_heavy top_heavy,0
358,dark right_heavy top_heavy,5
359,dark right_heavy top_heavy,3
360,dark left_heavy bottom_heavy,6
361,dark right_heavy top_heavy,9
362,dark left_heavy bottom_heavy,6
363,bright left_heavy top_heavy,1
364,dark left_heavy bottom_heavy,7
365,bright left_heavy top_heavy,5
366,dark left_heavy bottom_heavy,4
367,dark left_heavy bottom_heavy,4
368,dark right_heavy bottom_heavy,7
369,dark left_heavy bottom_heavy,2
370,bright right_heavy top_heavy,8
371,bright left_heavy bottom_heavy,2
372,bright left_heavy bottom_heavy,2
373,dark right_heavy top_heavy,5
374,dark right_heavy bottom_heavy,7
375,dark right_heavy top_heavy,9
376,dark left_heavy top_heavy,5
377,dark left_heavy bottom_heavy,4
378,dark right_heavy top_heavy,8
379,bright right_heavy top_heavy,8
380,bright right_heavy bottom_heavy,4
381,dark right_heavy top_heavy,9
382,dark left_heavy bottom_heavy,0
383,dark left_heavy top_heavy,8
384,dark right_heavy top_heavy,9
385,dark right_heavy top_heavy,3
386,bright left_heavy bottom_heavy,0
387,bright right_heavy top_heavy,1
388,dark right_heavy bottom_heavy,2
389,dark right_heavy top_heavy,3
390,dark right_heavy bottom_heavy,4
391,bright right_heavy top_heavy,5
392,bright left_heavy bottom_heavy,6
393,dark right_heavy top_heavy,7
394,bright right_heavy top_heavy,8
395,bright right_heavy top_heavy,9
396,bright left_heavy top_heavy,0
397,bright right_heavy top_heavy,1
398,dark right_heavy bottom_heavy,2
399,bright right_heavy top_heavy,3
400,dark left_heavy bottom_heavy,4
401,bright left_heavy top_heavy,5
402,bright left_heavy bottom_heavy,6
403,dark right_heavy top_heavy,7
404,dark left_heavy top_heavy,8
405,bright right_heavy top_heavy,9
406,bright left_heavy bottom_heavy,0
407,bright right_heavy top_heavy,1
408,dark left_heavy bottom_heavy,2
409,dark right_heavy bottom_heavy,3
410,dark right_heavy bottom_heavy,4
411,bright left_heavy top_heavy,5
412,bright left_heavy bottom_heavy,6
413,dark right_heavy top_heavy,7
414,bright right_heavy bottom_heavy,8
415,bright right_heavy top_heavy,9
416,bright left_heavy top_heavy,0
417,bright right_heavy bottom_heavy,9
418,bright left_heavy top_heavy,5
419,bright left_heavy top_heavy,5
420,bright left_heavy bottom_heavy,6
421,bright right_heavy top_heavy,5
422,bright left_heavy top_heavy,0
423,bright right_heavy bottom_heavy,9
424,bright right_heavy top_heavy,8
425,bright right_heavy top_heavy,9
426,dark right_heavy top_heavy,8
427,dark right_heavy bottom_heavy,4
428,bright right_heavy top_heavy,1
429,dark right_heavy top_heavy,7
430,bright right_heavy top_heavy,7
431,bright right_heavy top_heavy,3
432,dark right_heavy top_heavy,5
433,dark right_heavy top_heavy,1
434,bright left_heavy bottom_heavy,0
435,dark left_heavy top_heavy,0
436,bright right_heavy bottom_heavy,2
437,dark right_heavy bottom_heavy,2
438,dark right_heavy top_heavy,7
439,bright right_heavy top_heavy,8
440,dark right_heavy bottom_heavy,2
441,dark left_heavy bottom_heavy,0
442,dark right_heavy bottom_heavy,1
443,dark right_heavy bottom_heavy,2
444,dark right_heavy bottom_heavy,6
445,bright right_heavy bottom_heavy,3
446,bright right_heavy bottom_heavy,3
447,dark right_heavy top_heavy,7
448,dark right_heavy bottom_heavy,3
449,dark right_heavy top_heavy,3
450,dark right_heavy bottom_heavy,4
451,bright left_heavy bottom_heavy,6
452,bright left_heavy bottom_heavy,6
453,bright left_heavy bottom_heavy,6
454,dark right_heavy bottom_heavy,4
455,bright right_heavy top_heavy,9
456,bright right_heavy top_heavy,1
457,bright right_heavy top_heavy,5
458,dark right_heavy top_heavy,0
459,bright right_heavy top_heavy,9
460,bright left_heavy top_heavy,5
461,dark right_heavy bottom_heavy,2
462,dark right_heavy top_heavy,8
463,dark left_heavy bottom_heavy,2
464,dark left_heavy bottom_heavy,0
465,bright left_heavy bottom_heavy,0
466,dark right_heavy top_heavy,1
467,dark right_heavy top_heavy,7
468,bright left_heavy bottom_heavy,6
469,dark right_heavy bottom_heavy,3
470,dark left_heavy bottom_heavy,2
471,bright right_heavy top_heavy,1
472,dark right_heavy top_heavy,7
473,dark right_heavy bottom_heavy,4
474,bright right_heavy bottom_heavy,6
475,dark right_heavy bottom_heavy,3
476,dark right_heavy top_heavy,1
477,dark right_heavy bottom_heavy,3
478,bright right_heavy top_heavy,9
479,bright right_heavy top_heavy,1
480,dark right_heavy top_heavy,7
481,bright left_heavy bottom_heavy,6
482,dark right_heavy bottom_heavy,8
483,dark right_heavy bottom_heavy,4
484,bright left_heavy bottom_heavy,3
485,bright right_heavy top_heavy,1
486,dark right_heavy bottom_heavy,4
487,dark right_heavy bottom_heavy,0
488,bright left_heavy top_heavy,5
489,dark right_heavy top_heavy,3
490,bright left_heavy bottom_heavy,6
491,bright right_heavy bottom_heavy,9
492,bright left_heavy bottom_heavy,6
493,bright right_heavy top_heavy,1
494,dark right_heavy top_heavy,7
495,bright left_heavy top_heavy,5
496,dark right_heavy bottom_heavy,4
497,dark right_heavy bottom_heavy,4
498,dark right_heavy top_heavy,7
499,dark left_heavy bottom_heavy,2
500,bright right_heavy bottom_heavy,8
501,dark left_heavy bottom_heavy,2
502,dark right_heavy bottom_heavy,2
503,dark left_heavy top_heavy,5
504,dark right_heavy top_heavy,7
505,bright right_heavy top_heavy,9
506,bright right_heavy top_heavy,5
507,dark right_heavy bottom_heavy,4
508,bright left_heavy top_heavy,8
509,bright right_heavy top_heavy,8
510,dark right_heavy bottom_heavy,4
511,bright right_heavy top_heavy,9
512,dark right_heavy top_heavy,0
513,bright right_heavy top_heavy,8
514,bright right_heavy top_heavy,9
515,bright right_heavy top_heavy,8
516,dark right_heavy top_heavy,0
517,dark right_heavy bottom_heavy,1
518,dark right_heavy bottom_heavy,2
519,dark right_heavy bottom_heavy,3
520,dark left_heavy bottom_heavy,4
521,dark left_heavy top_heavy,5
522,bright left_heavy bottom_heavy,6
523,dark left_heavy top_heavy,7
524,dark right_heavy bottom_heavy,8
525,bright right_heavy top_heavy,9
526,dark right_heavy bottom_heavy,0
527,dark left_heavy bottom_heavy,1
528,bright right_heavy top_heavy,2
529,dark right_heavy top_heavy,3
530,dark left_heavy top_heavy,4
531,bright left_heavy top_heavy,5
532,dark left_heavy bottom_heavy,6
533,dark right_heavy top_heavy,7
534,bright right_heavy bottom_heavy,8
535,bright right_heavy top_heavy,9
536,dark right_heavy top_heavy,0
537,dark left_heavy bottom_heavy,1
538,bright right_heavy top_heavy,2
539,dark right_heavy top_heavy,3
540,dark left_heavy bottom_heavy,4
541,dark left_heavy top_heavy,5
542,bright left_heavy bottom_heavy,6
543,dark right_heavy top_heavy,7
544,bright right_heavy bottom_heavy,8
545,dark right_heavy top_heavy,9
546,dark right_heavy top_heavy,0
547,bright right_heavy top_heavy,9
548,bright left_heavy top_heavy,5
549,dark right_heavy top_heavy,5
550,bright left_heavy bottom_heavy,6
551,dark right_heavy top_heavy,5
552,dark right_heavy top_heavy,0
553,bright right_heavy top_heavy,9
554,dark right_heavy bottom_heavy,8
555,bright right_heavy top_heavy,9
556,bright right_heavy bottom_heavy,8
557,dark left_heavy bottom_heavy,4
558,dark left_heavy bottom_heavy,1
559,bright right_heavy bottom_heavy,7
560,dark right_heavy top_heavy,7
561,dark right_heavy bottom_heavy,3
562,dark left_heavy top_heavy,5
563,bright left_heavy bottom_heavy,1
564,dark right_heavy top_heavy,0
565,bright right_heavy bottom_heavy,0
566,dark right_heavy top_heavy,2
567,dark right_heavy bottom_heavy,2
568,dark left_heavy top_heavy,7
569,dark right_heavy bottom_heavy,8
570,dark right_heavy top_heavy,2
571,dark right_heavy top_heavy,0
572,dark left_heavy bottom_heavy,1
573,dark right_heavy bottom_heavy,2
574,dark left_heavy bottom_heavy,6
575,dark right_heavy top_heavy,3
576,dark right_heavy top_heavy,3
577,dark right_heavy top_heavy,7
578,bright right_heavy top_heavy,3
579,dark right_heavy top_heavy,3
580,dark left_heavy bottom_heavy,4
581,dark left_heavy bottom_heavy,6
582,bright left_heavy bottom_heavy,6
583,dark left_heavy bottom_heavy,6
584,bright left_heavy bottom_heavy,4
585,dark right_heavy top_heavy,9
586,bright right_heavy bottom_heavy,1
587,dark left_heavy top_heavy,5
588,dark left_heavy top_heavy,0
589,dark right_heavy top_heavy,9
590,dark left_heavy top_heavy,5
591,bright right_heavy bottom_heavy,2
592,bright right_heavy bottom_heavy,8
593,dark left_heavy top_heavy,2
594,dark right_heavy top_heavy,0
595,dark right_heavy top_heavy,0
596,dark left_heavy bottom_heavy,1
597,dark right_heavy top_heavy,7
598,dark left_heavy bottom_heavy,6
599,dark right_heavy bottom_heavy,3
600,bright left_heavy bottom_heavy,2
601,bright right_heavy bottom_heavy,1
602,dark right_heavy top_heavy,7
603,bright left_heavy bottom_heavy,4
604,bright left_heavy bottom_heavy,6
605,dark right_heavy bottom_heavy,3
606,dark left_heavy bottom_heavy,1
607,dark right_heavy top_heavy,3
608,bright right_heavy bottom_heavy,9
609,dark right_heavy bottom_heavy,1
610,dark right_heavy bottom_heavy,7
611,bright left_heavy bottom_heavy,6
612,dark right_heavy bottom_heavy,8
613,bright left_heavy bottom_heavy,4
614,dark right_heavy top_heavy,3
615,bright right_heavy bottom_heavy,1
616,bright left_heavy bottom_heavy,4
617,dark right_heavy top_heavy,0
618,dark right_heavy top_heavy,5
619,dark right_heavy bottom_heavy,3
620,bright left_heavy bottom_heavy,6
621,dark right_heavy top_heavy,9
622,bright left_heavy bottom_heavy,6
623,bright right_heavy bottom_heavy,1
624,dark right_heavy top_heavy,7
625,dark left_heavy top_heavy,5
626,bright left_heavy bottom_heavy,4
627,bright left_heavy bottom_heavy,4
628,dark left_heavy top_heavy,7
629,bright right_heavy bottom_heavy,2
630,dark right_heavy bottom_heavy,8
631,bright right_heavy bottom_heavy,2
632,dark right_heavy bottom_heavy,2
633,dark right_heavy top_heavy,5
634,dark right_heavy top_heavy,7
635,dark right_heavy top_heavy,9
636,dark left_heavy top_heavy,5
637,bright left_heavy bottom_heavy,4
638,dark right_heavy bottom_heavy,8
639,dark right_heavy bottom_heavy,8
640,bright left_heavy bottom_heavy,4
641,dark right_heavy top_heavy,9
642,dark right_heavy top_heavy,0
643,dark right_heavy bottom_heavy,8
644,bright right_heavy top_heavy,9
645,dark right_heavy bottom_heavy,8
646,bright left_heavy bottom_heavy,0
647,bright left_heavy top_heavy,1
648,bright left_heavy bottom_heavy,2
649,bright right_heavy top_heavy,3
650,dark right_heavy bottom_heavy,4
651,dark left_heavy top_heavy,5
652,dark left_heavy bottom_heavy,6
653,dark right_heavy top_heavy,7
654,bright right_heavy top_heavy,8
655,bright right_heavy top_heavy,9
656,dark left_heavy top_heavy,0
657,bright left_heavy top_heavy,1
658,bright left_heavy bottom_heavy,2
659,bright right_heavy top_heavy,3
660,bright right_heavy bottom_heavy,4
661,dark left_heavy top_heavy,5
662,dark left_heavy bottom_heavy,6
663,dark right_heavy top_heavy,7
664,bright left_heavy top_heavy,8
665,dark right_heavy top_heavy,9
666,bright left_heavy bottom_heavy,0
667,bright left_heavy bottom_heavy,1
668,dark left_heavy bottom_heavy,2
669,bright right_heavy bottom_heavy,3
670,bright right_heavy bottom_heavy,4
671,bright left_heavy top_heavy,5
672,dark left_heavy bottom_heavy,6
673,dark right_heavy top_heavy,7
674,dark right_heavy bottom_heavy,8
675,dark right_heavy top_heavy,9
676,dark left_heavy top_heavy,0
677,dark right_heavy top_heavy,9
678,bright left_heavy bottom_heavy,5
679,dark left_heavy top_heavy,5
680,bright left_heavy bottom_heavy,6
681,bright left_heavy top_heavy,5
682,bright right_heavy bottom_heavy,0
683,bright right_heavy top_heavy,9
684,bright left_heavy top_heavy,8
685,dark right_heavy top_heavy,9
686,bright left_heavy top_heavy,8
687,bright right_heavy top_heavy,4
688,bright right_heavy top_heavy,1
689,bright right_heavy top_heavy,7
690,dark right_heavy top_heavy,7
691,dark right_heavy top_heavy,3
692,dark left_heavy top_heavy,5
693,bright right_heavy top_heavy,1
694,bright right_heavy bottom_heavy,0
695,dark left_heavy top_heavy,0
696,bright right_heavy top_heavy,2
697,dark right_heavy top_heavy,2
698,dark right_heavy top_heavy,7
699,dark left_heavy top_heavy,8
700,bright right_heavy top_heavy,2
701,bright right_heavy bottom_heavy,0
702,bright right_heavy top_heavy,1
703,dark right_heavy top_heavy,2
704,dark left_heavy bottom_heavy,6
705,bright right_heavy top_heavy,3
706,bright right_heavy top_heavy,3
707,dark right_heavy top_heavy,7
708,dark right_heavy top_heavy,3
709,bright right_heavy top_heavy,3
710,dark right_heavy top_heavy,4
711,dark left_heavy bottom_heavy,6
712,dark left_heavy bottom_heavy,6
713,dark left_heavy bottom_heavy,6
714,dark right_heavy bottom_heavy,4
715,dark right_heavy top_heavy,9
716,bright left_heavy top_heavy,1
717,bright left_heavy bottom_heavy,5
718,bright right_heavy bottom_heavy,0
719,dark right_heavy top_heavy,9
720,bright right_heavy top_heavy,5
721,bright right_heavy top_heavy,2
722,bright right_heavy bottom_heavy,8
723,bright left_heavy top_heavy,2
724,bright right_heavy bottom_heavy,0
725,dark left_heavy bottom_heavy,0
726,dark right_heavy top_heavy,1
727,dark right_heavy top_heavy,7
728,dark left_heavy bottom_heavy,6
729,bright right_heavy top_heavy,3
730,dark left_heavy bottom_heavy,2
731,bright left_heavy top_heavy,1
732,bright right_heavy top_heavy,7
733,bright right_heavy bottom_heavy,4
734,dark left_heavy bottom_heavy,6
735,dark right_heavy top_heavy,3
736,bright left_heavy top_heavy,1
737,dark right_heavy bottom_heavy,3
738,dark right_heavy top_heavy,9
739,bright left_heavy top_heavy,1
740,bright right_heavy top_heavy,7
741,dark left_heavy bottom_heavy,6
742,bright left_heavy top_heavy,8
743,bright left_heavy bottom_heavy,4
744,dark right_heavy bottom_heavy,3
745,bright left_heavy top_heavy,1
746,dark left_heavy top_heavy,4
747,bright left_heavy top_heavy,0
748,bright left_heavy bottom_heavy,5
749,bright right_heavy bottom_heavy,3
750,dark left_heavy bottom_heavy,6
751,dark right_heavy top_heavy,9
752,dark left_heavy bottom_heavy,6
753,bright left_heavy top_heavy,1
754,bright right_heavy top_heavy,7
755,dark left_heavy top_heavy,5
756,bright left_heavy bottom_heavy,4
757,bright right_heavy top_heavy,4
758,bright right_heavy top_heavy,7
759,dark left_heavy top_heavy,2
760,bright left_heavy top_heavy,8
761,bright left_heavy top_heavy,2
762,dark left_heavy bottom_heavy,2
763,dark left_heavy top_heavy,5
764,dark right_heavy top_heavy,7
765,dark right_heavy top_heavy,9
766,dark left_heavy top_heavy,5
767,bright right_heavy bottom_heavy,4
768,bright right_heavy top_heavy,8
769,dark left_heavy top_heavy,8
770,dark left_heavy top_heavy,4
771,bright right_heavy top_heavy,9
772,dark right_heavy top_heavy,0
773,bright left_heavy top_heavy,8
774,bright right_heavy top_heavy,9
775,bright left_heavy top_heavy,8
776,dark left_heavy top_heavy,0
777,dark left_heavy top_heavy,1
778,dark left_heavy bottom_heavy,2
779,dark left_heavy bottom_heavy,3
780,dark left_heavy bottom_heavy,4
