school,sex,age,address,Mjob,Fjob,studytime,absences,G1,G2,G3
GP,F,16.0,U,services,other,1.0,16,12,11,11
GP,M,15.0,R,at_home,teacher,2.0,0,9,0,0
GP,F,15.0,U,services,at_home,3.0,0,11,0,0
GP,M,17.0,R,at_home,other,2.0,0,10,0,0
GP,F,16.0,U,other,other,,0,4,0,0
GP,M,16.0,U,services,other,2.0,0,14,12,12
GP,F,15.0,U,teacher,teacher,1.0,0,16,16,15
,M,15.0,U,teacher,services,,0,7,9,0
GP,M,16.0,U,services,services,,8,9,9,9
GP,F,15.0,U,teacher,services,3.0,2,9,11,11
GP,F,16.0,U,at_home,at_home,1.0,2,14,14,13
GP,M,17.0,U,other,other,1.0,0,5,0,0
GP,F,15.0,U,other,services,,0,8,11,11
GP,F,15.0,U,health,services,2.0,0,6,7,0
GP,F,15.0,U,at_home,other,2.0,2,10,11,11
GP,M,16.0,U,teacher,teacher,1.0,0,7,6,0
GP,M,15.0,U,services,other,1.0,0,8,9,10
GP,M,18.0,U,other,other,1.0,0,6,5,0
GP,M,16.0,U,at_home,other,1.0,6,12,13,14
GP,F,15.0,R,services,services,3.0,8,10,10,10
GP,M,19.0,U,services,at_home,1.0,0,5,0,0
GP,F,17.0,U,other,teacher,1.0,0,11,11,12
,M,,R,at_home,services,,2,11,8,8
GP,M,17.0,R,other,other,1.0,8,16,12,13
GP,F,18.0,R,at_home,other,,6,9,8,10
GP,M,16.0,R,at_home,other,,2,17,15,15
GP,M,16.0,U,other,services,2.0,4,10,12,12
GP,M,17.0,R,at_home,other,1.0,0,7,6,0
GP,M,15.0,R,other,other,2.0,6,5,9,7
GP,M,16.0,U,other,other,1.0,0,7,0,0
GP,M,17.0,U,at_home,services,1.0,2,10,10,10
GP,M,17.0,R,other,services,2.0,0,5,8,7
GP,M,16.0,U,services,services,1.0,16,12,11,12
GP,M,16.0,U,other,other,2.0,4,10,10,10
,F,16.0,U,health,services,,0,14,15,16
GP,F,16.0,U,other,other,,0,6,7,0
GP,F,16.0,U,health,health,2.0,0,14,14,14
GP,M,16.0,U,other,other,1.0,0,6,5,0
GP,M,16.0,U,other,other,2.0,2,13,15,16
GP,M,17.0,U,teacher,other,2.0,0,13,11,10
GP,F,16.0,U,at_home,services,2.0,0,8,7,0
GP,F,16.0,U,other,other,2.0,4,10,11,9
GP,M,17.0,U,teacher,other,2.0,4,10,9,9
GP,F,16.0,U,services,other,2.0,2,13,13,11
GP,M,17.0,U,other,other,,4,6,5,6
GP,M,16.0,R,teacher,services,1.0,10,10,8,9
GP,M,17.0,U,other,other,2.0,4,10,10,11
GP,M,16.0,U,teacher,other,2.0,10,9,8,8
GP,M,16.0,U,services,other,2.0,2,12,13,12
GP,F,17.0,U,services,services,,0,16,17,17
GP,F,17.0,U,other,other,2.0,56,9,9,8
GP,F,16.0,U,other,other,2.0,14,12,13,12
GP,M,17.0,U,services,services,2.0,12,12,12,11
GP,M,16.0,U,services,services,1.0,2,11,12,11
GP,M,16.0,U,other,other,2.0,0,15,15,15
GP,F,17.0,U,health,other,2.0,6,8,7,9
GP,M,17.0,R,at_home,other,2.0,4,8,9,10
GP,F,16.0,U,services,services,2.0,10,11,12,13
GP,F,17.0,U,at_home,services,2.0,0,8,8,9
GP,M,17.0,U,at_home,services,2.0,12,7,8,8
GP,M,16.0,R,services,services,,8,8,9,10
GP,M,16.0,U,other,other,1.0,0,13,14,14
GP,F,17.0,U,services,services,2.0,0,14,15,15
GP,M,17.0,U,services,teacher,,4,17,15,16
GP,M,16.0,R,teacher,other,1.0,8,9,9,10
GP,F,17.0,U,services,teacher,1.0,24,18,18,18
GP,F,16.0,U,teacher,teacher,2.0,0,9,9,10
GP,F,16.0,U,health,other,2.0,2,16,16,16
GP,F,16.0,U,other,other,2.0,6,8,10,10
GP,F,17.0,U,other,other,2.0,4,9,9,10
GP,F,17.0,R,other,other,1.0,18,7,6,6
GP,F,16.0,R,services,services,4.0,6,10,10,11
GP,F,17.0,U,at_home,services,3.0,28,10,9,9
GP,F,16.0,U,services,other,2.0,5,7,7,7
GP,F,16.0,U,teacher,other,2.0,10,11,12,13
GP,F,16.0,U,at_home,other,1.0,6,9,9,10
,F,,R,teacher,other,,6,7,7,7
GP,F,19.0,U,other,other,4.0,10,8,8,8
GP,M,17.0,U,services,other,7.0,13,12,12,13
GP,F,16.0,U,other,other,2.0,0,12,13,14
GP,M,18.0,U,services,other,2.0,15,6,7,8
GP,F,17.0,R,services,other,1.0,12,8,10,10
GP,F,17.0,U,other,other,2.0,2,14,15,15
GP,F,17.0,U,other,other,2.0,22,6,6,4
GP,M,18.0,U,services,health,2.0,13,6,6,8
GP,F,17.0,U,at_home,other,1.0,3,7,7,8
GP,F,17.0,U,at_home,at_home,3.0,4,9,10,10
GP,F,17.0,R,at_home,services,2.0,2,6,6,6
GP,F,17.0,U,at_home,other,3.0,0,6,5,0
GP,F,16.0,U,services,teacher,2.0,2,16,16,17
,M,,U,other,other,,0,12,13,13
GP,F,16.0,U,teacher,services,3.0,0,13,13,14
GP,F,18.0,R,other,other,2.0,16,9,8,7
GP,F,17.0,U,other,other,2.0,10,16,15,15
GP,M,17.0,U,services,services,2.0,2,12,11,12
GP,M,18.0,U,at_home,other,2.0,14,10,8,9
GP,F,17.0,U,other,other,3.0,10,12,10,12
GP,F,17.0,U,health,other,2.0,14,13,13,14
GP,M,17.0,R,other,other,2.0,4,11,11,11
GP,M,17.0,U,teacher,teacher,2.0,14,11,9,9
GP,M,16.0,U,health,other,2.0,2,14,13,13
,M,,U,other,other,,18,9,7,6
GP,M,16.0,U,at_home,other,3.0,10,11,9,10
GP,M,17.0,U,other,other,2.0,4,14,13,13
GP,F,16.0,U,other,other,1.0,20,13,12,12
GP,F,17.0,R,at_home,services,2.0,2,13,11,11
GP,M,18.0,U,other,services,2.0,0,7,7,0
GP,M,17.0,U,health,other,2.0,14,12,12,12
GP,M,17.0,R,teacher,other,2.0,2,10,11,12
GP,M,16.0,U,teacher,other,1.0,0,6,0,0
GP,M,16.0,U,services,services,1.0,0,13,12,12
GP,F,18.0,U,other,other,3.0,0,7,0,0
GP,M,16.0,U,other,other,1.0,6,18,18,18
GP,M,17.0,U,other,other,1.0,4,12,12,13
GP,M,22.0,U,services,services,1.0,79,6,8,8
,M,24.0,R,other,services,,8,3,5,5
GP,M,16.0,U,other,other,1.0,0,13,15,15
GP,M,18.0,U,services,other,1.0,0,6,8,8
GP,M,16.0,U,at_home,other,2.0,6,7,10,10
GP,M,18.0,U,services,services,1.0,4,6,9,8
GP,M,16.0,R,other,other,1.0,0,8,9,8
GP,M,17.0,R,other,other,1.0,0,8,12,12
GP,M,17.0,U,health,other,,2,7,9,8
GP,F,17.0,U,teacher,services,4.0,6,14,12,13
GP,M,19.0,U,services,at_home,2.0,12,11,11,11
,M,,U,other,other,,8,15,14,14
GP,F,17.0,U,services,services,4.0,0,10,9,0
GP,F,18.0,U,services,other,2.0,78,17,18,18
GP,M,18.0,U,teacher,other,2.0,2,8,8,8
GP,M,18.0,R,other,other,3.0,1,13,12,12
GP,F,17.0,U,other,other,3.0,4,10,9,9
GP,F,18.0,U,at_home,services,3.0,0,9,10,0
GP,M,18.0,R,other,other,2.0,13,17,17,17
GP,M,17.0,U,services,other,2.0,2,9,9,10
GP,F,18.0,R,teacher,other,2.0,8,12,10,11
GP,M,18.0,U,health,other,2.0,10,10,9,10
GP,F,18.0,R,other,other,2.0,0,6,0,0
GP,F,19.0,U,other,services,2.0,15,9,9,9
GP,F,18.0,U,other,services,4.0,4,15,14,14
,F,,U,other,other,,2,11,11,11
GP,M,17.0,R,at_home,at_home,2.0,2,15,14,14
GP,F,17.0,U,at_home,health,2.0,2,10,10,10
GP,F,17.0,U,services,other,2.0,6,12,12,12
GP,F,18.0,R,other,services,2.0,75,10,9,9
GP,M,18.0,U,teacher,services,1.0,22,9,9,9
GP,F,18.0,U,health,health,2.0,15,9,8,8
GP,M,18.0,U,teacher,services,1.0,8,10,11,10
GP,M,17.0,U,services,other,1.0,30,8,8,8
GP,M,17.0,U,teacher,services,1.0,19,11,9,10
GP,F,18.0,R,at_home,other,4.0,1,12,12,12
GP,F,18.0,U,other,other,2.0,4,8,9,10
GP,F,17.0,U,other,other,2.0,4,10,9,11
GP,M,17.0,U,other,other,7.0,2,12,10,11
GP,F,18.0,U,at_home,at_home,3.0,5,18,18,19
GP,F,17.0,U,services,teacher,3.0,6,13,12,12
GP,M,18.0,U,services,services,3.0,6,15,14,14
GP,M,18.0,U,teacher,teacher,2.0,9,15,13,15
GP,M,18.0,U,teacher,other,2.0,11,12,11,11
GP,F,17.0,U,health,services,,0,15,15,15
GP,F,18.0,U,services,at_home,2.0,12,12,12,13
GP,F,17.0,R,services,other,4.0,6,18,18,18
GP,M,18.0,R,services,other,3.0,8,14,13,14
GP,M,17.0,U,health,other,1.0,4,14,12,11
GP,F,19.0,U,health,other,2.0,0,10,9,0
GP,F,18.0,U,other,other,2.0,10,10,8,8
GP,F,18.0,U,other,other,4.0,0,14,13,14
GP,M,18.0,U,teacher,teacher,1.0,5,16,15,16
GP,F,18.0,U,health,other,2.0,14,12,10,11
GP,M,17.0,U,other,teacher,1.0,0,11,11,10
GP,F,17.0,U,other,other,3.0,0,15,12,14
GP,F,17.0,U,health,health,4.0,0,17,17,18
GP,M,19.0,U,other,other,,20,15,14,13
GP,F,18.0,U,services,at_home,2.0,8,14,12,12
GP,M,20.0,U,services,other,1.0,0,17,18,18
,M,19.0,U,teacher,services,,38,8,9,8
GP,M,19.0,R,other,services,2.0,0,15,12,12
GP,F,19.0,U,at_home,other,2.0,18,12,10,10
GP,F,19.0,U,services,services,2.0,0,9,9,0
GP,F,19.0,U,at_home,other,2.0,20,14,12,13
GP,M,19.0,U,other,services,2.0,3,13,11,11
GP,F,19.0,U,services,other,2.0,22,13,10,11
GP,F,19.0,U,at_home,health,3.0,14,15,13,13
GP,F,19.0,R,other,other,3.0,40,13,11,11
,F,,U,services,other,,0,8,8,0
GP,F,18.0,U,other,other,3.0,9,9,10,9
GP,F,17.0,R,at_home,services,3.0,0,11,11,10
GP,F,18.0,U,teacher,other,2.0,2,11,11,11
GP,F,17.0,U,services,services,2.0,23,13,13,13
GP,F,17.0,U,other,other,2.0,12,11,9,9
GP,F,17.0,R,services,services,3.0,3,11,11,11
,F,,U,services,services,,1,12,14,15
,F,,U,at_home,at_home,,0,16,15,15
GP,M,18.0,U,other,other,3.0,3,9,12,11
GP,M,17.0,U,other,services,1.0,3,14,15,16
GP,M,17.0,R,services,other,1.0,8,11,10,10
GP,F,17.0,U,teacher,services,3.0,7,10,9,9
GP,F,17.0,U,teacher,teacher,,4,14,14,14
GP,M,18.0,U,other,other,4.0,2,9,8,8
GP,F,17.0,R,at_home,other,3.0,7,12,14,14
GP,F,18.0,U,services,services,2.0,0,7,0,0
GP,F,18.0,U,other,other,2.0,0,8,8,0
,F,,R,at_home,other,,0,10,9,0
GP,F,17.0,U,services,other,3.0,16,16,15,15
GP,F,19.0,R,services,at_home,3.0,12,14,13,13
GP,F,17.0,U,other,other,2.0,0,7,8,0
GP,F,18.0,U,services,services,4.0,7,16,15,17
GP,F,17.0,R,other,other,2.0,4,9,10,10
GP,F,19.0,U,services,services,3.0,4,11,12,11
GP,M,18.0,U,teacher,services,2.0,0,10,10,0
GP,M,18.0,U,services,other,2.0,11,16,15,15
GP,F,17.0,U,at_home,at_home,2.0,0,9,8,0
GP,F,18.0,U,at_home,other,3.0,4,11,10,10
GP,F,18.0,U,other,services,3.0,7,13,13,14
GP,M,18.0,R,teacher,services,3.0,9,16,15,16
GP,M,18.0,U,teacher,other,3.0,0,10,10,9
GP,F,17.0,U,health,other,3.0,0,13,15,15
MS,M,18.0,R,other,other,1.0,10,11,13,13
MS,M,19.0,R,other,services,2.0,8,8,7,8
MS,M,17.0,U,health,other,2.0,2,13,13,13
MS,M,18.0,U,at_home,services,1.0,7,8,7,8
MS,M,19.0,R,other,other,1.0,4,8,8,8
MS,M,17.0,R,services,other,2.0,4,13,11,11
MS,F,18.0,U,services,services,2.0,0,10,9,9
MS,F,17.0,R,teacher,services,,4,12,13,13
MS,F,17.0,U,services,other,2.0,2,12,12,11
MS,M,18.0,U,other,services,1.0,4,10,10,10
MS,F,18.0,U,at_home,services,3.0,0,18,16,16
MS,F,18.0,R,at_home,other,2.0,0,13,13,13
MS,M,18.0,R,at_home,other,2.0,2,13,12,12
MS,F,18.0,U,services,services,2.0,0,11,11,10
MS,F,17.0,U,at_home,at_home,2.0,0,16,15,15
MS,F,17.0,R,other,services,2.0,0,12,11,12
MS,M,18.0,R,at_home,other,2.0,4,10,10,10
MS,M,18.0,U,teacher,services,3.0,0,13,13,13
MS,F,17.0,R,other,services,1.0,0,7,6,0
MS,F,18.0,U,at_home,services,1.0,0,11,10,10
MS,F,18.0,R,other,teacher,2.0,10,14,12,11
MS,F,19.0,U,services,services,,4,7,7,9
,M,23.0,R,at_home,services,,3,14,12,12
MS,F,17.0,U,other,at_home,3.0,8,13,11,11
MS,F,17.0,R,other,other,1.0,14,6,5,5
MS,F,18.0,R,other,other,3.0,0,19,18,19
,F,18.0,R,other,other,,2,8,8,10
MS,F,20.0,U,health,other,3.0,4,15,14,15
MS,F,18.0,R,teacher,services,,4,8,9,10
MS,F,18.0,U,other,other,2.0,0,15,15,15
MS,F,17.0,R,at_home,other,2.0,17,10,10,10
MS,M,18.0,U,teacher,teacher,2.0,4,15,14,14
MS,M,18.0,R,other,other,1.0,5,7,6,7
MS,M,17.0,U,other,services,2.0,2,11,11,10
MS,M,19.0,R,other,services,1.0,0,6,5,0
MS,M,18.0,R,other,other,,14,6,5,5
MS,F,18.0,R,at_home,other,3.0,2,10,9,10
MS,F,18.0,R,teacher,at_home,,7,6,5,6
MS,F,19.0,R,services,other,3.0,0,7,5,0
MS,F,18.0,U,teacher,services,2.0,0,7,9,8
MS,F,18.0,U,other,other,2.0,0,6,5,0
,M,,U,services,services,,11,9,9,9
,M,17.0,U,services,services,,79,14,16,16
MS,M,21.0,R,other,other,1.0,3,10,8,7
,M,,R,services,other,,0,11,12,10
MS,M,19.0,U,other,at_home,1.0,5,8,9,9
