ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month,random_noise,LIMIT_BAL_copy
111,330000.0,2,1,1,31.0,0,0,2,0,0,0,105879.0,108431,105594,105896,106491,107289,9260.0,0,3593,4100,15794,0,0,-0.5020956252973293,346500.0
112,50000.0,1,3,1,47.0,0,0,2,0,0,0,13244.0,14722,15181,15928,16671,17393,2000.0,1000,1000,1000,1000,1000,0,0.9634105446993262,52500.0
113,280000.0,1,2,1,41.0,2,2,2,2,2,3,135673.0,138532,134813,144401,152174,149415,6500.0,0,14254,14850,0,5000,0,0.87904055785948,294000.0
114,100000.0,2,1,2,24.0,0,0,0,0,0,0,52128.0,52692,54477,56076,60100,59713,2000.0,2677,3076,5080,3000,2033,0,-1.7624624568215796,105000.0
115,50000.0,1,2,2,41.0,0,0,0,0,0,0,19015.0,19294,20259,20274,20311,19957,1340.0,1305,700,718,724,684,0,-1.4180572453549385,52500.0
117,240000.0,1,1,2,28.0,-1,-1,-1,-1,-1,-1,6520.0,326,326,5676,476,326,326.0,326,5676,476,326,526,0,-2.044741086470331,252000.0
119,400000.0,1,2,1,34.0,-1,-1,-1,-1,-1,-1,19660.0,9666,11867,7839,14837,7959,9677.0,11867,7839,14837,7959,5712,0,-0.9049738676867065,420000.0
120,240000.0,2,2,2,38.0,0,0,0,0,-1,-1,50254.0,51445,53015,52479,1307,1203,2000.0,3000,3000,1307,1203,563,0,-1.3214082295780485,252000.0
123,110000.0,2,1,1,48.0,1,-2,-2,-2,-2,-2,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,-0.22627845469801317,115500.0
125,20000.0,1,1,2,27.0,0,0,0,0,0,0,19115.0,18962,19298,19378,19717,15630,1404.0,1130,600,861,313,0,0,0.5282791383886926,21000.0
126,20000.0,1,2,2,23.0,1,-2,-2,-2,-2,-2,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,2.6030488531132447,21000.0
127,200000.0,1,3,2,52.0,0,0,0,0,0,0,110151.0,99530,98951,100914,103146,104993,3568.0,3585,3602,3848,3669,3784,0,-1.0250957391297337,210000.0
130,60000.0,1,3,1,55.0,3,2,2,0,0,0,,61450,57244,28853,29510,26547,2504.0,7,1200,1200,1100,1500,0,0.5344620235344723,63000.0
131,30000.0,2,1,2,23.0,1,-2,-2,-2,-1,-1,4000.0,5645,3508,-27,13744,5906,5645.0,3508,27,13771,5911,3024,0,1.6038966808608368,31500.0
132,240000.0,1,1,2,41.0,1,-1,-1,0,0,-1,95.0,2622,3301,3164,360,1737,2622.0,3301,0,360,1737,924,0,-0.5980428682322555,252000.0
133,420000.0,1,2,1,34.0,0,0,0,0,0,0,253454.0,247743,229049,220951,210606,188108,9744.0,9553,7603,7830,7253,11326,0,2.622195284390858,441000.0
134,330000.0,1,3,1,46.0,0,0,0,0,0,0,227389.0,228719,229644,227587,227775,228203,8210.0,8095,8025,8175,8391,8200,0,0.9585165144141463,346500.0
135,300000.0,2,2,2,22.0,0,0,0,0,0,0,28452.0,26145,26712,25350,17603,-780,2000.0,1400,0,500,0,1560,0,-0.8150921903747054,315000.0
136,240000.0,1,2,1,34.0,0,0,0,2,2,2,10674.0,12035,13681,13269,14158,13891,1500.0,1800,0,1000,0,327,0,-0.3386339539325847,252000.0
137,150000.0,1,1,2,27.0,0,0,0,0,0,0,17444.0,19342,22000,24614,27200,30229,,3000,3000,3000,3500,5000,0,1.1709760283187636,157500.0
138,210000.0,2,2,1,33.0,0,0,0,0,0,0,7166.0,7997,8792,9189,4404,5708,1500.0,1500,1000,500,2000,546,0,-0.9764219473601741,220500.0
140,50000.0,1,1,2,24.0,0,0,0,0,0,0,50801.0,50143,49586,19430,19375,18995,2360.0,1700,1000,900,870,2130,0,-1.2404753118663683,52500.0
142,180000.0,1,2,2,28.0,-1,-1,-1,-1,-1,-1,1832.0,0,832,332,416,416,0.0,416,332,500,3500,832,0,-0.4443523243374613,189000.0
143,50000.0,1,2,2,23.0,1,2,2,2,0,0,10131.0,10833,20583,19996,19879,18065,1000.0,10000,400,700,800,600,0,-0.862305616686455,52500.0
144,170000.0,1,2,2,29.0,-2,-2,-2,-2,-2,-2,12159.0,10000,10000,10000,9983,15846,,10000,10000,9983,15863,10000,0,1.7144132747630338,178500.0
145,20000.0,1,1,2,29.0,-1,-1,-1,-1,0,-1,1199.0,15586,344,2340,6702,339,15586.0,344,2340,4702,339,330,0,-0.3328089298200687,21000.0
146,50000.0,1,1,2,28.0,0,0,0,0,0,3,4999.0,5913,7315,9195,10624,10138,1000.0,1500,2000,1583,1100,0,0,-0.7709354345142054,52500.0
148,200000.0,1,1,2,34.0,1,2,0,0,0,0,197236.0,176192,93069,135668,132233,59875,8000.0,5000,55500,5000,5000,8500,0,-1.5483443437837523,210000.0
149,80000.0,2,2,1,23.0,1,2,3,2,0,0,9168.0,10522,10205,9898,10123,12034,1650.0,0,0,379,2091,1,0,-1.4954453458217711,84000.0
150,260000.0,2,1,1,60.0,1,-2,-1,-1,-1,-1,-1100.0,-1100,21400,0,969,869,0.0,22500,0,969,1000,0,0,-1.6997265944835538,273000.0
151,140000.0,1,2,1,32.0,0,0,0,0,2,0,86627.0,78142,68336,64648,58319,55251,3455.0,3110,5000,0,2100,2602,0,1.9311697062078865,147000.0
152,80000.0,1,1,2,25.0,0,0,0,0,0,0,42444.0,55744,43476,41087,41951,31826,30000.0,3000,6000,8000,2000,14000,0,0.7151767591732525,84000.0
153,3500000.0,1,1,2,41.0,1,-1,-1,-1,-1,-2,208.0,2906,1000,630,0,0,2906.0,1000,630,0,0,0,0,1.3973759925721159,3675000.0
154,280000.0,2,2,1,56.0,0,0,0,0,0,0,208775.0,182350,132257,101783,177145,169311,8042.0,6700,5137,100000,7000,6321,0,1.5953984309940619,294000.0
155,30000.0,2,3,2,26.0,0,0,0,0,0,0,9014.0,10406,11427,11935,13084,14206,1700.0,1500,1000,1500,1500,1500,0,0.14796632386114686,31500.0
156,140000.0,1,1,1,34.0,0,0,0,0,0,0,23944.0,28049,32073,43129,47086,48699,5000.0,5000,11885,5000,3000,5504,0,-0.3320628348938918,147000.0
157,200000.0,2,1,2,37.0,0,0,0,0,0,0,105420.0,102870,89643,90938,92505,94031,4000.0,3250,3250,3500,3560,5000,0,1.3952277564098636,210000.0
158,200000.0,2,3,2,30.0,0,0,0,0,0,0,196031.0,196143,189524,167163,146975,122324,7300.0,7108,7680,6200,5000,4500,0,1.2694383718795514,210000.0
160,50000.0,1,3,1,57.0,3,2,0,0,0,0,12854.0,12362,13447,13427,13711,14083,0.0,1600,500,500,600,600,0,0.2642305402446645,52500.0
161,30000.0,1,1,2,41.0,2,2,2,2,2,0,24357.0,27453,26718,28168,27579,28321,3500.0,0,2200,0,1200,1250,0,-1.3040762548501381,31500.0
162,50000.0,1,2,2,27.0,2,-1,-1,-1,-1,2,390.0,390,780,216,1080,540,390.0,780,216,864,0,390,0,0.22873105201780605,52500.0
163,290000.0,1,3,1,47.0,-1,-1,-1,-1,0,-1,1234.0,396,396,792,396,423,396.0,396,792,0,423,369,0,-0.3917411949343078,304500.0
164,250000.0,2,1,1,34.0,0,0,2,0,0,0,141223.0,156858,151841,152803,155997,160220,17994.0,0,5469,5656,6811,3920,0,-2.158217852585094,262500.0
165,60000.0,2,2,1,46.0,0,0,0,0,0,0,,23803,24908,26034,26655,27756,3000.0,1500,1500,1000,1500,1500,0,-0.1851298770908543,63000.0
166,110000.0,2,1,2,27.0,0,0,0,0,0,0,101640.0,104795,104855,74737,76058,77254,5500.0,3900,3000,2900,3000,2800,0,-1.2206554883808736,115500.0
167,370000.0,1,1,2,50.0,-2,-2,-2,-2,-2,-2,6093.0,15130,8204,15398,4792,13453,15383.0,8204,15413,4792,13453,4699,0,-1.6307297992861447,388500.0
168,100000.0,1,2,1,27.0,-1,2,2,0,0,0,102349.0,96847,58824,29336,22979,-246,3166.0,0,1330,1398,12,50000,0,-0.3570659901505177,105000.0
169,90000.0,2,2,1,35.0,0,0,0,0,0,2,72112.0,73854,75526,77317,85852,88290,3500.0,3500,3652,10000,4000,0,0,-0.200526742571054,94500.0
170,50000.0,2,2,2,22.0,0,0,0,0,0,0,28040.0,29092,29366,27737,28318,28806,1510.0,1442,982,1017,1277,567,0,-0.2078822304116294,52500.0
171,270000.0,1,2,2,37.0,0,0,0,0,0,0,37695.0,33397,30534,27598,26344,24641,5000.0,2000,3000,4000,3000,2000,0,0.4605457117838729,283500.0
172,300000.0,2,1,2,30.0,-1,-1,-1,-1,-1,-1,688.0,3280,0,4340,2672,800,3288.0,0,4340,2672,800,746,0,0.5162434900238266,315000.0
173,50000.0,2,2,2,22.0,-1,0,0,0,0,0,8567.0,15273,11650,7457,3115,7725,15000.0,1000,149,0,5000,10000,0,0.07772437502581249,52500.0
175,3600000.0,1,1,2,29.0,1,-2,-1,-1,-2,-2,0.0,0,77,0,0,0,0.0,77,0,0,0,0,0,-0.12516375961820356,3780000.0
177,80000.0,1,1,2,30.0,-2,-1,0,0,0,0,6187.0,100,600,1438,1919,5380,504.0,500,1000,500,3500,0,0,1.3651583902739526,84000.0
178,50000.0,1,2,2,30.0,1,2,0,0,0,2,48860.0,47801,48363,30221,22877,22361,0.0,1500,1000,2000,0,2000,0,-0.9784237879718911,52500.0
179,20000.0,2,2,2,22.0,0,0,0,0,0,0,16001.0,12622,13221,13130,14034,14906,1212.0,1201,500,1500,1500,1000,0,-1.6128914976989228,21000.0
180,80000.0,2,2,1,29.0,0,0,2,0,0,0,77883.0,81811,80250,61467,10662,11486,5800.0,1000,600,400,1000,0,0,0.2430568973897252,84000.0
181,240000.0,1,1,2,37.0,-1,-1,2,0,0,-1,12212.0,26578,25331,26605,26279,1256,15000.0,0,2000,0,1256,65935,0,-1.57894731858405,252000.0
182,80000.0,2,3,2,35.0,0,-1,0,0,0,0,49608.0,12412,14873,17364,17770,17460,12500.0,6500,3000,2000,3000,2000,0,-0.016459611025143775,84000.0
183,500000.0,99,1,1,47.0,0,0,0,0,0,0,56422.0,110616,110340,122967,108834,70064,70010.0,30357,30000,20000,52183,20000,0,0.8145993686010867,525000.0
185,20000.0,1,2,2,25.0,0,0,0,0,0,-1,10642.0,11677,13070,12280,1615,1620,1200.0,1593,601,135,1824,0,0,-0.334912161646502,21000.0
187,360000.0,2,1,2,32.0,1,-1,-1,-1,-1,-1,2616.0,57077,5287,68445,13881,16240,,5295,68454,13889,16250,38313,0,-0.2563975218911183,378000.0
189,130000.0,2,2,1,34.0,1,-1,0,0,0,0,0.0,5396,10270,13576,13864,14636,5396.0,5000,3500,501,1000,2000,0,1.3038576794755985,136500.0
190,20000.0,2,2,2,31.0,1,5,4,4,3,2,21703.0,21087,21461,20835,20219,20487,0.0,1000,0,0,760,0,0,-0.31772018763859516,21000.0
191,310000.0,1,1,2,32.0,0,0,0,0,0,0,59901.0,62147,62102,65875,60387,43328,,6031,10057,5028,5060,4223,0,-0.309944644029966,325500.0
193,180000.0,2,1,2,29.0,-1,-1,-1,-2,-1,0,,199,0,0,17227,17042,199.0,0,0,17227,341,5114,0,-0.07752144646450967,189000.0
194,180000.0,2,1,2,24.0,-1,-1,2,0,0,-2,14670.0,22087,21282,10200,0,0,37867.0,0,200,0,0,0,0,2.1889933380547113,189000.0
195,50000.0,1,2,1,36.0,0,0,0,0,-1,-1,47790.0,18114,18250,-14,72,658,2000.0,1000,2000,500,1000,20011,0,-0.799768419829415,52500.0
197,,2,2,1,34.0,-2,-2,-2,-2,-2,-2,0.0,0,0,116,0,1500,0.0,0,116,0,1500,0,0,0.064572934698649,
198,20000.0,2,1,2,22.0,0,0,0,0,-1,0,18553.0,19446,19065,8332,18868,19247,,1032,541,20000,693,1000,0,-1.4908292020696432,21000.0
199,500000.0,2,1,1,34.0,-2,-2,-2,-1,-1,-1,412.0,138,2299,1251,1206,1151,138.0,2299,1251,1206,1151,15816,0,-1.3913572548676123,525000.0
201,180000.0,2,1,1,38.0,-2,-2,-2,-2,-2,-2,750.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.9063089886323322,189000.0
202,140000.0,1,1,2,31.0,0,0,2,0,0,2,27123.0,27299,17985,20225,27407,10833,,0,3000,7800,0,2500,0,-0.8188960772047397,147000.0
203,140000.0,2,1,2,26.0,-1,0,-1,-1,-1,-1,13424.0,18000,13001,5818,13506,487,10000.0,13001,5841,13506,487,7004,0,0.32828755402299004,147000.0
204,120000.0,1,2,2,-5.0,0,0,0,0,0,0,107314.0,110578,113736,116000,119131,122135,5000.0,5000,4152,5000,5000,5000,0,-0.4167465754266615,126000.0
205,360000.0,2,2,1,48.0,0,0,0,0,0,0,226430.0,231878,234192,190211,173557,146511,9100.0,7300,5800,5600,5600,4100,0,2.5486398952930127,378000.0
206,200000.0,1,3,1,-5.0,-1,-1,0,0,0,0,227.0,20351,20237,19339,19450,19337,22359.0,1305,1258,1459,3457,1700,0,0.8580060943700628,210000.0
207,100000.0,1,1,1,47.0,-1,-1,-1,-1,-1,-1,390.0,1473,390,390,390,0,1473.0,390,390,390,0,2380,0,0.09065820574934555,105000.0
