LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month,random_noise,LIMIT_BAL_copy,ID_ANONYME
180000.0,2,1,2,24,1,2,0,0,0,0,41402.0,41742,42758,43510,44420,45319,1300.0,2010,1762,1762,1790,1622,0,-0.1029728785953167,189000.0,2fca346db656
150000.0,2,1,2,44,2,0,0,0,0,0,924480.0,34993,31434,26518,21042,16540,1600.0,1718,1049,1500,2000,5000,0,0.2382758889722565,157500.0,02d20bbd7e39
500000.0,2,1,1,44,-2,-2,-2,-2,-2,-2,1905.0,3640,162,0,151,2530,3640.0,162,0,151,2530,0,0,0.6061396920568981,525000.0,7688b6ef5255
180000.0,2,3,1,33,0,0,0,-1,-1,-1,,15793,8441,7142,-679,8321,8500.0,1500,7500,679,9000,2000,0,0.4928004679028142,189000.0,c837649cce43
180000.0,2,2,1,33,0,0,0,0,0,0,175886.0,173440,172308,168608,132202,129918,8083.0,7296,5253,4814,4816,3800,0,0.6684342723231746,189000.0,6208ef0f7750
200000.0,2,1,2,33,-1,3,2,2,2,2,1587.0,1098,782,1166,700,1414,0.0,0,700,0,1200,0,0,-0.0597918143567029,210000.0,3e1e967e9b79
400000.0,2,2,1,29,0,0,0,0,0,0,400134.0,398857,404205,360199,356656,364089,17000.0,15029,30000,12000,12000,23000,0,-0.117317929737915,420000.0,39fa9ec190ee
70000.0,1,2,1,-5,0,0,0,0,0,-1,70800.0,72060,69938,16518,14096,830,4025.0,2095,1000,2000,3000,0,0,-0.5217224054947369,73500.0,81b8a03f97e8
130000.0,2,2,1,51,-1,-1,-2,-2,-1,-1,99.0,0,0,0,2353,0,0.0,0,0,2353,0,0,0,0.3754779433267494,136500.0,108c995b953c
210000.0,2,1,2,29,2,-1,-1,-1,-1,-1,300.0,300,1159,2280,300,4250,300.0,1159,2280,300,4250,909,0,1.961393978527927,220500.0,a21855da08cb
130000.0,2,3,2,28,1,-2,-2,-1,2,-1,-190.0,-9850,-9850,10311,10161,7319,0.0,0,20161,0,7319,13899,0,1.0205164069698496,136500.0,c75cb66ae28d
20000.0,1,5,2,21,2,0,0,0,0,0,18565.0,17204,17285,18085,11205,5982,0.0,1200,1000,500,1000,0,0,-0.8829624070519068,21000.0,ff5a1ae012af
80000.0,1,1,2,31,-1,-1,-1,-1,-1,-1,780.0,0,390,390,390,390,0.0,390,390,390,390,390,0,0.4878048915345702,84000.0,7f2253d7e228
200000.0,2,2,1,31,-1,-1,-1,-1,2,-1,9076.0,5787,-684,5247,3848,3151,5818.0,15,9102,17,3165,1395,0,-0.3468043233278214,210000.0,96061e92f58e
290000.0,2,1,2,36,1,-2,-1,-1,-1,-1,0.0,0,3155,0,2359,0,0.0,3155,0,2359,0,0,0,-0.2698022342467197,304500.0,eb624dbe56eb
340000.0,1,1,2,42,-1,-1,-1,-1,-1,-1,3048.0,5550,23337,4291,80153,25820,5713.0,23453,4314,80552,25949,2016,0,0.3663371407214553,357000.0,f369cb89fc62
20000.0,1,2,2,23,0,0,2,0,0,0,14619.0,17216,16642,16976,17332,18543,2850.0,0,610,630,1500,0,0,-0.361627733081823,21000.0,f74efabef12e
50000.0,1,3,2,24,-1,0,0,0,0,0,42838.0,37225,36087,9636,9590,10030,1759.0,1779,320,500,1000,1000,0,-0.2353415508081819,52500.0,a88a7902cb4e
300000.0,2,1,1,-6,-1,-1,-1,-1,-1,-1,291.0,291,291,291,291,291,291.0,291,291,291,291,291,0,-0.9223529086195464,315000.0,349c41201b62
470000.0,2,3,3,33,0,0,0,0,0,0,165254.0,157784,162702,69923,29271,29889,6400.0,7566,3000,960,1000,3000,0,-0.0302945016648243,493500.0,5316ca1c5ddc
360000.0,2,1,2,26,0,0,0,0,0,-1,,27796,30400,33100,180000,196,4796.0,3400,3100,146900,196,2963,0,0.0690241918779867,378000.0,a46e37632fa6
400000.0,2,2,1,43,0,0,2,0,0,0,131595.0,139060,126819,104430,104990,94058,10700.0,3,3050,3000,3200,2800,0,0.6626723780088138,420000.0,44c8031cb036
50000.0,2,3,2,48,0,0,0,0,0,0,48909.0,47863,21489,20414,19342,19482,1676.0,1302,700,699,849,826,0,-1.7484240494454346,52500.0,b4944c6ff08d
160000.0,1,2,2,33,0,0,0,0,0,0,130028.0,107808,71934,118418,118407,120418,4400.0,3547,80000,4500,4800,4500,0,0.2756306554040494,168000.0,434c9b5ae514
160000.0,2,2,2,32,0,0,0,0,0,-1,3826.0,4751,6604,8604,7072,766,1147.0,2000,2000,0,766,2303,0,-0.996599933659592,168000.0,8b940be7fb78
130000.0,2,1,1,35,0,0,0,-1,-1,-1,81313.0,117866,17740,1330,7095,1190,40000.0,5000,1330,7095,1190,2090,0,-2.185050442405738,136500.0,cd70bea023f7
20000.0,1,3,2,43,2,2,0,0,0,2,171660.0,8303,9651,10488,12314,11970,0.0,1651,1000,2000,0,1500,0,1.089974030088727,21000.0,69f59c273b6e
280000.0,2,1,2,38,-1,-1,-1,0,0,-2,7524.0,0,3968,3868,0,0,0.0,3968,0,0,0,0,0,0.4000983479592029,294000.0,8241649609f8
,2,1,2,27,-2,-2,-2,-2,-2,-2,-2000.0,5555,0,0,0,0,7555.0,0,0,0,0,0,0,1.8428393339995008,,6e4001871c0c
160000.0,2,2,1,37,-1,-1,-1,-1,-1,-2,880.0,1602,840,840,0,0,1602.0,840,840,0,0,7736,0,0.4843237747203225,168000.0,e3d6c4d4599e
60000.0,2,2,2,23,0,0,0,0,0,0,45648.0,46850,47214,19595,19209,19323,1937.0,1301,682,690,816,835,0,0.7338671271930987,63000.0,ad48ff99415b
90000.0,1,2,2,35,0,0,0,0,0,0,83725.0,85996,87653,35565,30942,30835,3621.0,3597,1179,1112,1104,1143,0,-1.7542553200058584,94500.0,7b1a278f5abe
,1,1,1,42,-1,-1,-1,-1,-1,0,3967.0,8322,3394,6451,26370,9956,8339.0,3394,12902,27000,0,68978,0,0.7715583408334219,,d6d824abba4a
150000.0,1,1,2,27,0,0,0,0,0,0,86009.0,86108,89006,89775,87725,40788,4031.0,10006,3266,4040,1698,800,0,-0.0803492370885351,157500.0,29db0c6782db
50000.0,2,3,1,22,0,0,0,0,0,0,18722.0,18160,16997,13150,8866,7899,1411.0,1194,379,281,321,197,0,-0.2942724397436542,52500.0,8c1f1046219d
140000.0,1,1,2,31,-2,-2,-2,-2,-2,-2,672.0,10212,850,415,100,1430,10212.0,850,415,100,1430,0,0,0.3546980013463719,147000.0,16dc368a89b4
380000.0,2,1,2,29,-2,-2,-1,0,0,0,-81.0,-303,32475,32891,33564,34056,223.0,33178,1171,1197,1250,5000,0,0.2474786733483927,399000.0,37834f2f2576
480000.0,1,1,1,63,0,0,0,2,2,0,422069.0,431342,479432,487066,471145,469961,16078.0,55693,17000,0,18000,24200,0,-0.3747320244096815,504000.0,454f63ac30c8
60000.0,2,2,2,25,2,2,2,2,2,0,56685.0,55208,59175,60218,55447,55305,0.0,5000,2511,6,3000,3000,0,1.007964260548232,63000.0,1253e9373e78
70000.0,2,2,2,23,-1,-1,-2,-2,-2,-1,5580.0,0,0,0,0,26529,0.0,0,0,0,26529,2000,0,-0.2206900379468958,73500.0,482d9673cfee
80000.0,2,2,1,36,-1,-1,-1,-1,-1,-1,6108.0,2861,3277,3319,1150,1150,2861.0,3279,3319,1150,1150,1035,0,1.9831605446379383,84000.0,3346f2bbf6c3
350000.0,1,1,2,52,-1,-1,-1,-1,-1,-1,713.0,2272,722,867,1150,5263,2272.0,722,867,1150,5263,5011,0,-0.1471628233872755,367500.0,9537f32ec759
130000.0,1,2,2,38,0,0,0,-1,-1,-1,171438.0,178382,39940,120483,44127,126568,10908.0,0,133657,4566,133841,4796,0,0.0997972728478113,136500.0,0fd42b3f73c4
360000.0,1,2,1,29,1,-2,-2,-2,-2,-2,-103.0,-103,-103,-103,-103,-103,0.0,0,0,0,0,0,0,0.2518765547382783,378000.0,9bdb2af67992
330000.0,2,1,1,30,0,0,2,0,0,0,105879.0,108431,105594,105896,106491,107289,9260.0,0,3593,4100,15794,0,0,-0.5020956252973293,346500.0,f6e0a1e2ac41
50000.0,1,3,1,46,0,0,2,0,0,0,13244.0,14722,15181,15928,16671,17393,2000.0,1000,1000,1000,1000,1000,0,0.9634105446993262,52500.0,b1556dea32e9
280000.0,1,2,1,41,2,2,2,2,2,3,135673.0,138532,134813,144401,152174,149415,6500.0,0,14254,14850,0,5000,0,0.87904055785948,294000.0,6c658ee83fb7
100000.0,2,1,2,23,0,0,0,0,0,0,52128.0,52692,54477,56076,60100,59713,2000.0,2677,3076,5080,3000,2033,0,-1.7624624568215796,105000.0,9f1f9dce319c
50000.0,1,2,2,41,0,0,0,0,0,0,19015.0,19294,20259,20274,20311,19957,1340.0,1305,700,718,724,684,0,-1.4180572453549385,52500.0,28dae7c8bde2
240000.0,1,1,2,28,-1,-1,-1,-1,-1,-1,6520.0,326,326,5676,476,326,326.0,326,5676,476,326,526,0,-2.044741086470331,252000.0,2ac878b0e218
400000.0,1,2,1,34,-1,-1,-1,-1,-1,-1,19660.0,9666,11867,7839,14837,7959,9677.0,11867,7839,14837,7959,5712,0,-0.9049738676867064,420000.0,3038bfb575be
240000.0,2,2,2,38,0,0,0,0,-1,-1,50254.0,51445,53015,52479,1307,1203,2000.0,3000,3000,1307,1203,563,0,-1.3214082295780485,252000.0,2abaca4911e6
110000.0,2,1,1,47,1,-2,-2,-2,-2,-2,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,-0.2262784546980131,115500.0,a665a4592042
20000.0,1,1,2,27,0,0,0,0,0,0,19115.0,18962,19298,19378,19717,15630,1404.0,1130,600,861,313,0,0,0.5282791383886926,21000.0,0f8ef3377b30
20000.0,1,2,2,23,1,-2,-2,-2,-2,-2,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,2.6030488531132447,21000.0,65a699905c02
200000.0,1,3,2,52,0,0,0,0,0,0,110151.0,99530,98951,100914,103146,104993,3568.0,3585,3602,3848,3669,3784,0,-1.0250957391297335,210000.0,922c7954216c
60000.0,1,3,1,55,3,2,2,0,0,0,,61450,57244,28853,29510,26547,2504.0,7,1200,1200,1100,1500,0,0.5344620235344723,63000.0,38d66d9692ac
30000.0,2,1,2,22,1,-2,-2,-2,-1,-1,4000.0,5645,3508,-27,13744,5906,5645.0,3508,27,13771,5911,3024,0,1.6038966808608368,31500.0,eeca91fd439b
240000.0,1,1,2,41,1,-1,-1,0,0,-1,95.0,2622,3301,3164,360,1737,2622.0,3301,0,360,1737,924,0,-0.5980428682322555,252000.0,dbb1ded63bc7
420000.0,1,2,1,34,0,0,0,0,0,0,253454.0,247743,229049,220951,210606,188108,9744.0,9553,7603,7830,7253,11326,0,2.622195284390858,441000.0,d2f483672c02
330000.0,1,3,1,46,0,0,0,0,0,0,227389.0,228719,229644,227587,227775,228203,8210.0,8095,8025,8175,8391,8200,0,0.9585165144141464,346500.0,5d389f5e2e34
300000.0,2,2,2,21,0,0,0,0,0,0,28452.0,26145,26712,25350,17603,-780,2000.0,1400,0,500,0,1560,0,-0.8150921903747054,315000.0,13671077b66a
240000.0,1,2,1,34,0,0,0,2,2,2,10674.0,12035,13681,13269,14158,13891,1500.0,1800,0,1000,0,327,0,-0.3386339539325847,252000.0,36ebe205bcdf
150000.0,1,1,2,26,0,0,0,0,0,0,17444.0,19342,22000,24614,27200,30229,,3000,3000,3000,3500,5000,0,1.1709760283187636,157500.0,d80eae6e96d1
210000.0,2,2,1,32,0,0,0,0,0,0,7166.0,7997,8792,9189,4404,5708,1500.0,1500,1000,500,2000,546,0,-0.976421947360174,220500.0,d6a403173361
50000.0,1,1,2,24,0,0,0,0,0,0,50801.0,50143,49586,19430,19375,18995,2360.0,1700,1000,900,870,2130,0,-1.2404753118663685,52500.0,dbae772db290
180000.0,1,2,2,27,-1,-1,-1,-1,-1,-1,1832.0,0,832,332,416,416,0.0,416,332,500,3500,832,0,-0.4443523243374613,189000.0,d4ee9f58e586
50000.0,1,2,2,23,1,2,2,2,0,0,10131.0,10833,20583,19996,19879,18065,1000.0,10000,400,700,800,600,0,-0.862305616686455,52500.0,d6f0c71ef0c8
170000.0,1,2,2,28,-2,-2,-2,-2,-2,-2,12159.0,10000,10000,10000,9983,15846,,10000,10000,9983,15863,10000,0,1.7144132747630338,178500.0,5ec1a0c99d42
20000.0,1,1,2,28,-1,-1,-1,-1,0,-1,1199.0,15586,344,2340,6702,339,15586.0,344,2340,4702,339,330,0,-0.3328089298200687,21000.0,be47addbcb8f
50000.0,1,1,2,27,0,0,0,0,0,3,4999.0,5913,7315,9195,10624,10138,1000.0,1500,2000,1583,1100,0,0,-0.7709354345142054,52500.0,0a5b046d07f6
200000.0,1,1,2,34,1,2,0,0,0,0,197236.0,176192,93069,135668,132233,59875,8000.0,5000,55500,5000,5000,8500,0,-1.5483443437837523,210000.0,ec2e990b934d
80000.0,2,2,1,22,1,2,3,2,0,0,9168.0,10522,10205,9898,10123,12034,1650.0,0,0,379,2091,1,0,-1.4954453458217711,84000.0,05ada863a4cf
260000.0,2,1,1,60,1,-2,-1,-1,-1,-1,-1100.0,-1100,21400,0,969,869,0.0,22500,0,969,1000,0,0,-1.6997265944835538,273000.0,9ae2bdd7beed
140000.0,1,2,1,32,0,0,0,0,2,0,86627.0,78142,68336,64648,58319,55251,3455.0,3110,5000,0,2100,2602,0,1.9311697062078863,147000.0,8e612bd1f5d1
80000.0,1,1,2,25,0,0,0,0,0,0,42444.0,55744,43476,41087,41951,31826,30000.0,3000,6000,8000,2000,14000,0,0.7151767591732525,84000.0,043066daf210
3500000.0,1,1,2,41,1,-1,-1,-1,-1,-2,208.0,2906,1000,630,0,0,2906.0,1000,630,0,0,0,0,1.397375992572116,3675000.0,620c9c332101
280000.0,2,2,1,56,0,0,0,0,0,0,208775.0,182350,132257,101783,177145,169311,8042.0,6700,5137,100000,7000,6321,0,1.595398430994062,294000.0,1d0ebea552eb
30000.0,2,3,2,25,0,0,0,0,0,0,9014.0,10406,11427,11935,13084,14206,1700.0,1500,1000,1500,1500,1500,0,0.1479663238611468,31500.0,210e3b160c35
140000.0,1,1,1,33,0,0,0,0,0,0,23944.0,28049,32073,43129,47086,48699,5000.0,5000,11885,5000,3000,5504,0,-0.3320628348938918,147000.0,0fecf9247f3d
200000.0,2,1,2,37,0,0,0,0,0,0,105420.0,102870,89643,90938,92505,94031,4000.0,3250,3250,3500,3560,5000,0,1.3952277564098636,210000.0,c75de23d89df
200000.0,2,3,2,29,0,0,0,0,0,0,196031.0,196143,189524,167163,146975,122324,7300.0,7108,7680,6200,5000,4500,0,1.2694383718795514,210000.0,7ed8f0f3b707
50000.0,1,3,1,56,3,2,0,0,0,0,12854.0,12362,13447,13427,13711,14083,0.0,1600,500,500,600,600,0,0.2642305402446645,52500.0,a512db2741cd
30000.0,1,1,2,40,2,2,2,2,2,0,24357.0,27453,26718,28168,27579,28321,3500.0,0,2200,0,1200,1250,0,-1.304076254850138,31500.0,bb668ca95563
50000.0,1,2,2,26,2,-1,-1,-1,-1,2,390.0,390,780,216,1080,540,390.0,780,216,864,0,390,0,0.228731052017806,52500.0,79d6eaa26761
290000.0,1,3,1,46,-1,-1,-1,-1,0,-1,1234.0,396,396,792,396,423,396.0,396,792,0,423,369,0,-0.3917411949343078,304500.0,3d3286f7cd19
250000.0,2,1,1,34,0,0,2,0,0,0,141223.0,156858,151841,152803,155997,160220,17994.0,0,5469,5656,6811,3920,0,-2.158217852585094,262500.0,3f9807cb9ae9
60000.0,2,2,1,46,0,0,0,0,0,0,,23803,24908,26034,26655,27756,3000.0,1500,1500,1000,1500,1500,0,-0.1851298770908543,63000.0,bc52dd634277
110000.0,2,1,2,26,0,0,0,0,0,0,101640.0,104795,104855,74737,76058,77254,5500.0,3900,3000,2900,3000,2800,0,-1.2206554883808736,115500.0,e0f05da93a0f
370000.0,1,1,2,50,-2,-2,-2,-2,-2,-2,6093.0,15130,8204,15398,4792,13453,15383.0,8204,15413,4792,13453,4699,0,-1.6307297992861447,388500.0,73d3f1ba0625
100000.0,1,2,1,26,-1,2,2,0,0,0,102349.0,96847,58824,29336,22979,-246,3166.0,0,1330,1398,12,50000,0,-0.3570659901505177,105000.0,80c3cd40fa35
90000.0,2,2,1,34,0,0,0,0,0,2,72112.0,73854,75526,77317,85852,88290,3500.0,3500,3652,10000,4000,0,0,-0.200526742571054,94500.0,f57e5cb1f453
50000.0,2,2,2,22,0,0,0,0,0,0,28040.0,29092,29366,27737,28318,28806,1510.0,1442,982,1017,1277,567,0,-0.2078822304116294,52500.0,734d0759cdb4
270000.0,1,2,2,36,0,0,0,0,0,0,37695.0,33397,30534,27598,26344,24641,5000.0,2000,3000,4000,3000,2000,0,0.4605457117838729,283500.0,284de502c984
300000.0,2,1,2,30,-1,-1,-1,-1,-1,-1,688.0,3280,0,4340,2672,800,3288.0,0,4340,2672,800,746,0,0.5162434900238266,315000.0,68519a9eca55
50000.0,2,2,2,21,-1,0,0,0,0,0,8567.0,15273,11650,7457,3115,7725,15000.0,1000,149,0,5000,10000,0,0.0777243750258124,52500.0,4a8596a7790b
3600000.0,1,1,2,28,1,-2,-1,-1,-2,-2,0.0,0,77,0,0,0,0.0,77,0,0,0,0,0,-0.1251637596182035,3780000.0,dac53c17c250
80000.0,1,1,2,30,-2,-1,0,0,0,0,6187.0,100,600,1438,1919,5380,504.0,500,1000,500,3500,0,0,1.3651583902739526,84000.0,8cd251027157
50000.0,1,2,2,29,1,2,0,0,0,2,48860.0,47801,48363,30221,22877,22361,0.0,1500,1000,2000,0,2000,0,-0.9784237879718912,52500.0,01d54579da44
20000.0,2,2,2,21,0,0,0,0,0,0,16001.0,12622,13221,13130,14034,14906,1212.0,1201,500,1500,1500,1000,0,-1.6128914976989228,21000.0,3068430da9e4
80000.0,2,2,1,28,0,0,2,0,0,0,77883.0,81811,80250,61467,10662,11486,5800.0,1000,600,400,1000,0,0,0.2430568973897252,84000.0,7b69759630f8
240000.0,1,1,2,36,-1,-1,2,0,0,-1,12212.0,26578,25331,26605,26279,1256,15000.0,0,2000,0,1256,65935,0,-1.57894731858405,252000.0,580811fa9526
80000.0,2,3,2,35,0,-1,0,0,0,0,49608.0,12412,14873,17364,17770,17460,12500.0,6500,3000,2000,3000,2000,0,-0.0164596110251437,84000.0,bfa7634640c5
500000.0,99,1,1,47,0,0,0,0,0,0,56422.0,110616,110340,122967,108834,70064,70010.0,30357,30000,20000,52183,20000,0,0.8145993686010867,525000.0,b8aed072d294
20000.0,1,2,2,24,0,0,0,0,0,-1,10642.0,11677,13070,12280,1615,1620,1200.0,1593,601,135,1824,0,0,-0.334912161646502,21000.0,61a229bae1e9
360000.0,2,1,2,31,1,-1,-1,-1,-1,-1,2616.0,57077,5287,68445,13881,16240,,5295,68454,13889,16250,38313,0,-0.2563975218911183,378000.0,38b2d03f3256
130000.0,2,2,1,34,1,-1,0,0,0,0,0.0,5396,10270,13576,13864,14636,5396.0,5000,3500,501,1000,2000,0,1.3038576794755985,136500.0,7045d16ae7f0
20000.0,2,2,2,30,1,5,4,4,3,2,21703.0,21087,21461,20835,20219,20487,0.0,1000,0,0,760,0,0,-0.3177201876385951,21000.0,2397346b4582
310000.0,1,1,2,32,0,0,0,0,0,0,59901.0,62147,62102,65875,60387,43328,,6031,10057,5028,5060,4223,0,-0.309944644029966,325500.0,70260742c295
180000.0,2,1,2,29,-1,-1,-1,-2,-1,0,,199,0,0,17227,17042,199.0,0,0,17227,341,5114,0,-0.0775214464645096,189000.0,684fe39f0375
180000.0,2,1,2,23,-1,-1,2,0,0,-2,14670.0,22087,21282,10200,0,0,37867.0,0,200,0,0,0,0,2.188993338054712,189000.0,7559ca4a957c
50000.0,1,2,1,35,0,0,0,0,-1,-1,47790.0,18114,18250,-14,72,658,2000.0,1000,2000,500,1000,20011,0,-0.799768419829415,52500.0,1dfacb2ea5a0
,2,2,1,34,-2,-2,-2,-2,-2,-2,0.0,0,0,116,0,1500,0.0,0,116,0,1500,0,0,0.064572934698649,,8bcbb4c131df
