genre,pays,revenu_annuel,type_abonnement,duree_abonnement_mois,nb_connexions_mensuelles,churn,jour_semaine,mois,age_groupe
Homme,Belgique,28555.144165977654,Familial,8.7,27,0,2,5,40-50
Homme,Maroc,63142.90897708092,Standard,17.6,16,0,3,1,20-30
Femme,Maroc,45965.592938798574,Standard,2.7,27,0,2,6,60+
Homme,Algérie,39203.62151819834,Familial,3.6,24,0,2,2,50-60
Femme,Maroc,45979.353355419975,Premium,14.2,26,1,4,6,60+
Femme,Algérie,39036.3534588128,Premium,1.3,25,1,2,3,40-50
Homme,Maroc,40649.5014100727,Standard,2.5,30,0,6,6,30-40
Homme,France,33122.73001518657,Familial,13.4,23,1,3,5,50-60
Homme,Canada,54821.229468338905,Premium,9.8,23,0,5,1,50-60
Homme,Belgique,55066.68003580078,Premium,1.4,25,0,6,1,20-30
Homme,France,52190.2016569585,Standard,0.8,30,0,0,2,40-50
Femme,Canada,35641.85627327224,Premium,,34,1,0,2,40-50
Femme,Algérie,44291.59070562685,Premium,12.3,29,0,5,1,20-30
Femme,Algérie,,Premium,14.0,29,0,5,1,60+
Femme,Algérie,32457.788731018332,,6.5,31,0,3,6,40-50
Homme,Maroc,29790.307204584686,Standard,32.2,14,1,5,4,30-40
Femme,Maroc,,Premium,6.0,19,0,4,1,30-40
Homme,Belgique,67401.80371201142,Premium,11.1,21,0,3,5,50-60
Femme,France,61493.87989883946,Premium,1.7,25,1,1,6,50-60
Homme,Belgique,31550.98299643802,Standard,,29,1,6,6,30-40
Homme,Algérie,49337.8145813622,Premium,46.7,25,0,4,6,50-60
Homme,France,48278.61252606567,Standard,13.3,32,0,1,3,50-60
Femme,France,25477.297602935545,Premium,1.4,30,0,2,3,40-50
Femme,France,37643.23280528228,Premium,6.2,30,1,6,2,20-30
Femme,Belgique,16183.301240466748,Premium,19.3,27,1,2,3,50-60
Homme,Algérie,25759.51942894241,,1.1,23,0,1,1,30-40
Homme,Belgique,43259.34328704581,Standard,23.1,33,0,1,4,60+
Femme,Algérie,56859.87370308558,Standard,7.7,39,1,3,2,20-30
Homme,Algérie,36439.70956890529,Premium,13.9,27,0,4,6,
Femme,Canada,50705.244094579466,Standard,19.0,27,0,4,1,40-50
Femme,Canada,21551.24731696732,,27.1,26,0,5,6,60+
Homme,Canada,19113.72653660667,Premium,12.9,24,0,2,1,20-30
Femme,Algérie,31091.657790494017,,4.3,21,0,4,2,40-50
Homme,Maroc,11165.436596692713,Premium,8.9,25,0,1,3,20-30
Homme,Algérie,20742.47310590308,Premium,10.1,34,0,6,2,40-50
Femme,Canada,34533.18850683602,Standard,7.4,28,1,3,6,50-60
Homme,Canada,35947.13263270529,Familial,0.6,21,0,6,6,40-50
Homme,Algérie,,Premium,15.9,26,0,5,4,60+
Homme,Algérie,35157.80117843929,Standard,10.7,22,0,6,1,20-30
Homme,Canada,40299.838127807736,Standard,1.1,31,0,4,5,30-40
Homme,Canada,28362.60481959304,Standard,12.9,28,0,4,1,30-40
Homme,Canada,45703.60146080246,Standard,1.0,22,0,0,4,60+
Non précisé,Canada,40510.32589240053,Premium,0.4,38,0,2,6,40-50
Femme,France,21101.464173107204,Standard,43.7,32,0,1,1,20-30
Non précisé,Algérie,31981.51894771672,Premium,2.3,26,0,2,1,30-40
Femme,Maroc,29564.052149091614,Premium,2.5,30,0,5,3,60+
Femme,France,43998.31033487023,Standard,9.0,33,0,3,3,30-40
Homme,Algérie,,Standard,,25,0,1,3,20-30
Femme,Maroc,36797.6316774083,Premium,31.5,24,0,5,5,20-30
Non précisé,Algérie,41804.696828825916,Familial,0.3,28,0,1,1,60+
Femme,France,5207.633137215691,,,28,0,3,1,50-60
Homme,Canada,54178.268786654364,Premium,26.2,17,0,0,6,30-40
Femme,Maroc,50068.34846404611,Familial,1.1,25,1,6,5,20-30
Homme,Algérie,20132.629874072933,Standard,22.8,24,0,6,3,<20
Homme,Belgique,26860.289517670983,Premium,1.8,25,0,3,6,20-30
Homme,France,28583.90957788466,Standard,34.8,23,0,1,3,40-50
Femme,Canada,27417.486148187156,Premium,17.6,32,1,1,2,30-40
Femme,Algérie,45031.28694904241,Premium,33.3,24,0,0,3,20-30
Femme,Belgique,30372.171954186368,Premium,2.1,32,0,4,7,40-50
Homme,Canada,45658.15222342644,Familial,9.0,27,0,1,5,30-40
Homme,Algérie,31387.119500026198,Familial,18.4,34,0,4,5,40-50
Homme,Canada,35302.739584754665,Premium,11.0,28,0,6,3,50-60
Homme,Maroc,34747.33141333745,Familial,4.3,32,0,4,5,40-50
Femme,Canada,45731.46369877324,Standard,6.4,24,0,1,4,50-60
Homme,Algérie,47935.8701013893,Premium,29.6,26,0,2,1,30-40
Femme,Canada,20409.72763014454,Standard,13.6,26,0,4,5,30-40
Homme,Maroc,32219.273626358896,Familial,17.2,19,0,1,7,<20
Homme,Maroc,41492.58546444012,Premium,1.1,30,0,4,5,50-60
Femme,Belgique,,Standard,,26,0,4,5,20-30
Homme,France,40264.749363456154,Familial,40.3,29,0,0,4,20-30
Homme,Canada,43441.43674860407,Standard,6.2,21,1,5,1,30-40
Homme,Maroc,53881.476125489324,Premium,15.2,22,0,1,2,30-40
Homme,Canada,,Premium,6.2,21,0,3,2,<20
Femme,Belgique,39865.35413474466,Standard,0.6,22,0,4,5,30-40
Homme,France,,Familial,7.6,25,0,4,1,60+
Femme,Algérie,41202.27252293153,Familial,9.9,22,0,3,1,60+
Homme,Belgique,51243.75235853088,,3.6,22,1,4,7,60+
Femme,Algérie,7993.469601687228,Premium,31.7,21,1,5,3,60+
Femme,Belgique,22053.643114600625,Standard,4.4,21,1,1,5,30-40
Homme,Maroc,19077.225108115184,Premium,,24,1,4,3,30-40
Femme,France,38410.679448264826,Standard,3.4,19,0,2,6,50-60
Homme,Canada,36104.23210455585,Standard,33.2,29,1,6,2,<20
Femme,Maroc,52001.183982315175,Premium,17.7,20,0,2,2,40-50
Homme,Algérie,41985.29234744454,Familial,15.6,21,1,5,4,40-50
Femme,Algérie,28269.33848472833,Premium,5.7,24,0,1,4,40-50
Homme,Belgique,27500.7757510834,,21.5,18,1,2,4,<20
Femme,France,43182.19440198222,,1.7,29,0,6,2,
Femme,France,29154.89955610854,Standard,15.0,26,0,3,5,50-60
Femme,Algérie,23659.854591004674,,4.0,28,0,0,2,30-40
Homme,Canada,45608.20753010887,Familial,18.7,20,0,2,6,30-40
Femme,Algérie,42452.74975022504,Familial,2.9,43,0,0,5,20-30
Homme,Canada,44486.68947853087,Premium,,21,0,0,2,40-50
Homme,Belgique,30358.031841663655,Premium,12.6,22,0,2,6,30-40
Homme,Maroc,17420.682640938052,,4.8,24,1,5,5,20-30
Homme,Belgique,32096.772234583237,Premium,25.1,25,0,5,7,20-30
Homme,France,52198.69315405084,Standard,9.5,24,0,5,5,20-30
Femme,France,36109.02915921251,Standard,4.8,21,0,6,1,40-50
Homme,Canada,41152.984231292285,,5.5,25,0,1,5,60+
Homme,Maroc,42470.64235519673,Familial,19.3,27,0,3,2,50-60
Femme,Belgique,53118.78066479022,Premium,21.8,26,1,2,7,30-40
Femme,Algérie,66585.64013489996,Standard,6.9,27,0,5,7,60+
Homme,France,40851.376480366,Premium,12.0,35,0,3,4,<20
Non précisé,Canada,42003.41445983836,,21.0,31,0,1,4,20-30
Homme,Canada,46385.07276199368,Premium,29.0,18,1,3,6,40-50
Femme,France,36369.76147047094,,11.5,20,0,5,2,20-30
Femme,Algérie,47154.01910224817,Standard,22.9,26,1,2,6,20-30
Homme,France,26636.904192322214,Premium,19.0,29,0,1,3,60+
Homme,France,31495.446634215674,Standard,3.9,24,0,1,4,20-30
Homme,Algérie,58730.21823897547,Premium,4.4,27,0,3,2,60+
Femme,Algérie,48072.39541526303,Premium,2.9,28,0,4,5,20-30
Femme,Belgique,51482.69489069884,,3.9,24,1,3,1,50-60
Homme,Algérie,43987.65063276741,Standard,34.8,22,1,4,2,60+
Femme,Belgique,36236.60812191544,Premium,2.1,26,0,3,6,20-30
Homme,Belgique,35307.717690543686,Familial,8.7,31,1,4,1,60+
Homme,Canada,29411.479706698752,Premium,2.8,24,0,5,3,40-50
Homme,Maroc,32981.49707709116,Premium,33.7,26,0,3,3,50-60
Femme,Maroc,43605.266936294975,Premium,12.7,23,0,4,1,30-40
Femme,Canada,53714.58596132619,Familial,20.9,23,1,5,2,60+
Femme,Maroc,33326.27583573939,Standard,1.5,24,0,6,7,50-60
Femme,Algérie,35067.777138253936,Premium,0.9,30,0,5,3,20-30
Femme,France,52404.60511092984,Premium,9.9,27,0,2,6,40-50
Femme,Canada,47265.590334351684,Standard,6.0,20,1,2,6,50-60
Homme,France,59114.455539270515,Premium,15.0,30,0,0,5,40-50
Homme,Belgique,40075.24328300864,Premium,10.1,34,1,6,5,30-40
Femme,Maroc,52987.048439021244,Premium,11.5,30,0,0,5,40-50
Homme,Belgique,34431.235324840054,Standard,3.4,21,1,2,5,20-30
Homme,Belgique,16962.899417829016,Premium,35.5,22,0,1,5,30-40
Femme,Canada,35268.995240629854,Premium,17.0,23,1,5,6,30-40
Femme,Canada,32853.675049388214,Standard,13.8,29,1,4,1,50-60
Homme,Maroc,58778.644641336934,Standard,19.5,29,1,0,6,20-30
Femme,France,41401.644201816176,Standard,5.9,34,0,1,4,50-60
Homme,Belgique,47645.56373783386,Familial,5.8,28,1,1,6,60+
Femme,Maroc,,Standard,6.5,15,0,2,2,40-50
Non précisé,Canada,31382.970395058866,Standard,32.9,21,1,1,3,50-60
Homme,Maroc,48943.70474299638,Standard,19.8,22,1,2,1,20-30
Homme,Algérie,27302.928951620874,Premium,1.7,36,0,6,6,60+
Femme,Canada,,Familial,11.7,33,1,4,2,50-60
Homme,Belgique,54416.283491544746,Standard,12.3,32,1,5,3,60+
Femme,France,41074.14380384277,,4.2,24,0,6,3,20-30
Femme,Belgique,39129.79552237912,Premium,31.9,30,0,2,6,60+
Homme,Belgique,40349.589446825295,Premium,21.3,20,0,6,4,20-30
Homme,Belgique,32587.67020655494,Premium,49.6,28,0,0,6,40-50
Homme,Algérie,48828.57870739762,Familial,23.6,23,0,6,6,50-60
Homme,Belgique,13700.777385616942,Premium,0.4,19,0,4,3,60+
Femme,Maroc,,Familial,14.1,23,0,6,4,
Homme,Maroc,39331.34229018464,Familial,3.8,29,0,6,6,60+
Femme,France,40532.89028032272,Premium,16.7,21,0,0,2,30-40
Femme,Maroc,52906.88412211107,Premium,15.1,20,0,5,4,
Femme,Algérie,52446.74305074305,Standard,7.0,26,1,5,4,50-60
Non précisé,Canada,30634.887075315608,Standard,0.6,23,1,1,7,<20
Femme,France,38418.59669967347,Premium,11.7,18,0,1,3,20-30
Femme,Belgique,38452.519007822724,Familial,1.4,22,1,6,1,30-40
Femme,Algérie,71606.58481119698,Standard,3.3,33,0,4,7,50-60
Femme,France,41162.37817630904,Standard,22.7,22,0,0,6,20-30
Non précisé,Maroc,58230.62242752821,Premium,13.5,24,0,1,2,30-40
Homme,Maroc,64615.50494891784,Familial,0.6,20,0,5,7,40-50
Femme,France,38103.15273887179,Standard,30.8,29,0,5,5,
Femme,France,57330.25358000066,Standard,2.0,31,0,5,4,50-60
Homme,Canada,49567.563535050824,Familial,25.8,29,0,4,3,20-30
Homme,France,29591.717943532745,Standard,11.1,31,0,5,4,40-50
Homme,Belgique,41123.77383201769,Familial,13.3,21,0,5,3,50-60
Femme,Algérie,,Premium,9.7,32,1,2,1,30-40
Femme,Maroc,34220.56124535016,Standard,23.6,26,1,4,5,30-40
Femme,Canada,34511.628380608716,Standard,31.1,22,1,5,4,30-40
Homme,Maroc,37560.72793047488,Premium,16.6,25,0,1,4,40-50
Femme,Algérie,40257.870335090694,,1.6,26,0,1,4,60+
Homme,Maroc,,Premium,4.4,26,0,3,1,40-50
Femme,Maroc,49590.11704852231,Standard,33.9,22,0,1,6,50-60
Femme,Algérie,16522.561824693184,Standard,30.1,23,0,3,1,30-40
Homme,France,,Standard,9.1,26,0,1,2,20-30
Femme,Canada,38286.777470305926,Familial,12.0,30,1,3,3,20-30
Femme,Algérie,32652.401721600618,Standard,12.7,35,0,3,1,40-50
Femme,Algérie,,Standard,,20,0,3,3,20-30
Homme,Belgique,44140.5800493588,Familial,42.1,30,0,0,2,40-50
Femme,France,59164.37502433228,Familial,3.1,20,0,2,1,<20
Homme,France,42148.658456931415,Standard,28.2,24,1,0,1,40-50
Homme,Belgique,46616.3105454977,Premium,0.2,29,1,0,7,50-60
Femme,France,7812.156170999447,Premium,8.5,28,0,2,2,50-60
Femme,Belgique,64002.59943853557,Standard,15.5,24,0,4,6,50-60
Femme,France,53664.78373079963,Standard,3.8,20,0,2,2,
Homme,Belgique,54446.507857638666,Familial,5.5,25,0,1,6,60+
Femme,Algérie,61617.07693494305,Familial,0.9,19,0,1,1,40-50
Non précisé,Algérie,,Standard,18.3,24,0,1,3,60+
Homme,Maroc,41263.50845322768,Premium,3.1,21,0,6,2,30-40
Femme,Maroc,48047.86959983119,Standard,3.0,18,0,3,5,20-30
Homme,France,55652.89359137897,Standard,5.4,18,0,6,6,40-50
Femme,Belgique,35567.42463370506,Standard,27.7,32,0,2,3,50-60
Homme,Canada,33158.763455737724,Standard,11.3,24,0,5,6,50-60
Homme,Algérie,33484.27123641843,Familial,0.2,28,0,3,1,30-40
Homme,Belgique,34786.28044805716,Premium,3.3,27,0,2,6,30-40
Homme,France,39022.750005065514,Standard,34.0,25,1,0,6,20-30
Femme,Belgique,31002.504613807036,Standard,47.0,27,0,4,3,30-40
Femme,Belgique,33374.665801020485,Premium,35.6,30,0,4,2,30-40
Homme,Algérie,41582.22448214799,Familial,1.2,25,1,0,5,20-30
Femme,France,41291.51035374857,Standard,15.5,21,0,5,6,30-40
Femme,Belgique,51886.24065204383,Premium,19.0,21,0,6,6,50-60
Femme,Algérie,33509.460868865506,Premium,2.9,25,1,6,5,30-40
Homme,Maroc,40457.43312461867,Standard,2.1,22,1,1,1,60+
Femme,Maroc,46751.449902571534,,,33,0,0,4,60+
Femme,France,71574.22713361381,,4.0,27,1,2,1,20-30
Femme,France,67924.87155704471,Standard,37.4,29,0,5,4,60+
Femme,Belgique,44347.80616747425,Familial,19.6,32,0,6,4,50-60
Femme,Maroc,65609.24778557278,Standard,19.4,18,0,1,6,50-60
Femme,Belgique,45722.430361934654,Familial,0.1,29,1,1,5,60+
Femme,Belgique,73656.59872300489,Standard,3.7,22,0,2,6,40-50
Femme,Maroc,36528.640693935544,Familial,33.0,22,0,4,4,30-40
Femme,Canada,22468.818278882933,Premium,1.9,33,0,6,2,30-40
Homme,Maroc,46628.70307653399,Premium,20.5,33,0,4,2,30-40
Femme,Belgique,35254.323863497,Premium,16.9,24,0,3,3,20-30
Femme,France,,Standard,4.2,29,0,5,2,20-30
Homme,France,29163.946806727636,Premium,9.1,27,0,5,5,40-50
Homme,France,24311.366756874893,Standard,2.3,30,0,5,2,50-60
Femme,Algérie,24559.058093808388,Familial,3.2,30,0,2,2,30-40
Homme,France,26628.46933931754,Standard,11.0,26,0,0,2,40-50
Homme,Algérie,48716.9329252811,Premium,17.6,24,0,3,3,30-40
Femme,Belgique,42716.228989721865,Premium,0.8,25,0,1,1,30-40
Homme,Algérie,32340.330226366008,Standard,33.6,29,1,6,7,60+
Femme,Algérie,61325.76971914884,Familial,7.0,23,0,2,2,50-60
Homme,Canada,43386.84738396581,Standard,19.3,24,0,3,5,30-40
Femme,France,42847.10405877685,Premium,2.3,26,0,6,6,60+
Femme,Belgique,22580.051729475537,Standard,5.6,26,0,1,2,60+
Homme,Maroc,37913.504846826276,Standard,17.2,27,0,3,2,50-60
Homme,France,40926.67180513948,Standard,16.7,17,1,6,3,40-50
Homme,Canada,45455.659393075635,Familial,12.2,18,0,2,7,20-30
Femme,Algérie,30210.891455930374,Standard,18.2,21,1,4,2,20-30
Homme,Belgique,16865.168494350124,Standard,9.0,34,0,1,2,60+
Femme,Belgique,43089.281156117926,Premium,7.8,18,0,5,6,20-30
Homme,France,32305.314612179005,Standard,17.8,35,0,0,4,40-50
Homme,Belgique,49675.645507745605,Standard,6.4,26,0,2,6,30-40
Homme,Maroc,43749.656515986906,Premium,4.0,31,0,0,6,30-40
Non précisé,Belgique,37276.068444826,Premium,37.8,18,1,4,4,50-60
Homme,France,32730.9170452917,Familial,20.0,22,0,3,2,60+
Homme,Belgique,30384.732257632226,Standard,58.5,18,0,0,6,30-40
Femme,Canada,43205.89444386995,Premium,34.2,30,1,4,1,60+
Homme,Maroc,43177.73877688362,Standard,13.8,21,0,2,1,50-60
Homme,France,36699.372875562876,Standard,28.5,36,0,0,3,30-40
Homme,Belgique,41371.51025939129,Standard,5.0,19,0,5,3,60+
Homme,France,43077.465908525184,Familial,2.0,25,1,4,2,60+
Femme,France,22293.67842099007,Standard,39.1,25,1,0,5,30-40
Femme,Algérie,32082.990532493244,Premium,,25,0,5,6,30-40
Femme,Algérie,,Standard,0.1,23,0,5,2,50-60
Femme,France,59366.40610456052,Standard,45.6,29,0,4,6,20-30
Femme,Maroc,30813.191273281107,Premium,31.3,25,1,1,4,30-40
Femme,Belgique,43470.30540934484,Standard,44.7,26,1,6,5,40-50
Femme,Belgique,43359.95212277927,Standard,10.0,22,1,5,6,50-60
Femme,Belgique,34785.78502141776,Standard,16.5,25,1,0,4,60+
Homme,Algérie,41356.164954635155,Premium,16.6,23,0,0,2,20-30
Femme,Algérie,53398.60111821944,Premium,2.9,21,0,2,4,40-50
Homme,Maroc,39227.76460172568,Premium,28.3,28,0,4,2,40-50
Homme,Maroc,57732.39322639289,Standard,30.8,19,0,3,4,50-60
Homme,Canada,41222.7232549718,Familial,17.4,29,0,0,5,<20
Homme,Canada,33711.39465781261,Premium,60.3,23,0,5,2,40-50
Homme,France,12289.92063118476,Standard,13.6,18,0,4,1,60+
Homme,Maroc,,Familial,3.9,22,1,1,4,20-30
Homme,Maroc,34219.11447975765,Standard,16.9,24,0,0,1,20-30
Homme,Maroc,48448.5726167229,Familial,2.4,26,0,0,1,20-30
Homme,France,24639.785455771984,Standard,8.4,34,0,0,1,50-60
Homme,Canada,33526.6149230649,Familial,20.4,27,0,3,4,60+
Homme,France,49853.90776558473,Premium,4.9,20,0,4,1,50-60
Homme,Maroc,43714.72648909152,Standard,1.7,21,1,6,1,20-30
Homme,France,17347.298791344336,Premium,12.4,17,1,1,3,<20
Femme,Belgique,42273.89987239895,Premium,,23,0,6,6,40-50
Homme,Algérie,44337.276804187284,Premium,28.5,24,1,6,5,40-50
Femme,Maroc,30192.276017398133,Standard,11.2,30,0,4,4,50-60
Femme,Canada,52668.76778951783,Standard,7.2,23,0,5,2,30-40
Non précisé,Canada,,,8.1,31,0,2,2,20-30
Femme,France,44361.038623477376,Premium,5.9,26,0,1,3,60+
Homme,Belgique,50037.51559944309,Premium,5.3,19,0,4,3,30-40
Homme,Canada,38757.17869044217,Standard,14.5,19,0,6,1,40-50
Femme,Maroc,67608.30050570685,Standard,6.1,17,1,1,5,
Femme,Algérie,26155.655588760386,Standard,2.2,24,0,3,1,40-50
Femme,Belgique,,Familial,6.1,25,0,3,6,50-60
Femme,Belgique,,Standard,16.5,28,1,2,2,30-40
Homme,Algérie,48273.28299286786,Standard,11.9,24,0,3,2,20-30
Femme,France,24294.501725531718,Premium,5.0,31,1,4,4,20-30
Homme,Maroc,31780.210868762722,Standard,7.1,25,0,4,4,40-50
